ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134691-0015_672-122797-0050,Spk2,1.68,3.034,2.402,0.551,0.755,0.614,-5.391,10.299,8.994,-5.271,14.738,12.405,3.524,3.383,2.716,0.976,0.965,40.0,30.0
1089-134691-0018_4970-29095-0024,Spk2,2.77,3.687,3.304,0.82,0.942,0.907,8.853,14.051,13.936,9.004,15.377,15.235,3.157,3.137,2.708,0.987,0.977,0.0,0.0
1089-134691-0020_908-31957-0004,Spk2,1.888,2.836,2.177,0.678,0.883,0.771,2.468,10.092,9.959,2.649,14.1,13.846,3.189,3.125,3.271,0.961,0.934,0.0,30.0
1089-134691-0025_4970-29095-0012,Spk2,1.469,2.971,2.593,0.52,0.818,0.766,-0.303,17.094,16.997,-0.148,18.064,17.958,3.286,3.101,3.402,0.951,0.939,28.571,28.571
1188-133604-0004_672-122797-0017,Spk2,1.397,2.111,2.007,0.558,0.735,0.701,-2.261,3.474,3.378,-2.112,6.068,5.99,3.065,2.888,3.4,0.984,0.973,0.0,11.111
1188-133604-0005_1580-141083-0020,Spk2,1.51,3.623,3.099,0.547,0.917,0.897,-0.491,12.439,12.338,-0.304,13.348,13.231,2.761,2.582,2.78,0.985,0.977,0.0,11.765
1188-133604-0005_6829-68769-0036,Spk1,1.448,2.553,2.237,0.253,0.629,0.594,-7.183,9.616,9.488,-6.715,11.542,11.407,2.47,3.304,3.67,0.962,0.951,15.789,21.053
1188-133604-0005_6829-68769-0036,Spk2,2.342,3.485,2.951,0.81,0.962,0.917,7.018,15.767,15.609,7.141,16.67,16.499,2.47,2.312,2.377,0.985,0.962,0.0,0.0
1188-133604-0010_5105-28240-0024,Spk2,2.064,3.775,3.114,0.663,0.895,0.799,4.768,12.345,12.145,4.818,14.29,14.029,3.011,2.875,2.927,0.99,0.988,0.0,0.0
1188-133604-0017_6930-81414-0007,Spk2,1.286,2.193,1.99,0.303,0.761,0.742,-7.925,8.867,8.638,-7.527,11.219,10.984,3.289,3.133,3.654,0.97,0.951,16.667,25.0
1188-133604-0019_7127-75947-0006,Spk2,2.142,2.993,3.044,0.543,0.898,0.883,-3.251,12.323,12.285,-3.058,14.129,14.071,3.787,3.154,3.53,0.933,0.914,0.0,0.0
1188-133604-0025_4992-23283-0016,Spk2,1.541,2.687,2.586,0.523,0.861,0.85,-0.549,8.563,8.562,-0.287,12.276,12.28,3.243,3.048,2.951,0.985,0.99,0.0,0.0
1188-133604-0027_4446-2275-0032,Spk2,1.787,3.07,3.293,0.53,0.837,0.799,-5.069,15.172,14.867,-4.774,16.79,16.327,2.89,2.466,2.947,0.977,0.953,0.0,0.0
1188-133604-0029_1284-1180-0013,Spk2,1.407,3.148,2.939,0.565,0.906,0.883,-2.471,13.49,13.387,-2.115,17.652,17.398,3.29,3.131,3.443,0.977,0.966,0.0,22.222
1188-133604-0029_4077-13751-0006,Spk2,1.637,3.192,2.533,0.538,0.804,0.745,-1.204,8.617,8.39,-1.092,10.092,9.86,2.887,2.956,3.36,0.971,0.971,11.111,22.222
1188-133604-0029_8455-210777-0003,Spk1,2.316,3.351,3.403,0.561,0.72,0.763,6.01,12.747,12.688,6.046,16.481,16.372,3.38,3.118,2.984,0.979,0.979,0.0,0.0
1188-133604-0029_8455-210777-0003,Spk2,1.396,2.798,2.595,0.582,0.85,0.801,-5.995,10.959,10.785,-5.77,14.427,14.096,3.38,3.126,2.967,0.985,0.975,11.111,11.111
1188-133604-0031_5142-33396-0054,Spk2,1.78,2.604,2.311,0.524,0.916,0.815,-0.398,13.494,12.31,-0.246,14.653,13.561,3.557,3.193,3.356,0.986,0.982,13.333,26.667
1188-133604-0033_7127-75947-0027,Spk2,2.017,3.298,3.121,0.567,0.928,0.874,-0.665,14.7,14.252,-0.591,15.764,15.218,2.63,2.792,3.044,0.986,0.986,22.222,27.778
1188-133604-0036_4507-16021-0015,Spk1,2.111,3.429,2.921,0.687,0.865,0.741,6.754,13.263,13.057,6.846,16.389,16.041,2.632,3.244,3.282,0.988,0.988,33.333,33.333
1188-133604-0038_5142-33396-0043,Spk2,1.679,3.254,3.297,0.583,0.938,0.91,-1.165,15.64,15.329,-1.033,16.559,16.255,3.145,2.852,2.492,0.985,0.984,0.0,10.0
1188-133604-0038_61-70970-0012,Spk2,2.018,3.32,2.801,0.76,0.951,0.914,4.761,13.816,13.567,4.874,16.362,16.06,3.047,3.155,2.427,0.987,0.986,0.0,0.0
121-121726-0001_672-122797-0015,Spk1,1.635,2.186,2.246,0.496,0.736,0.699,-3.305,10.046,9.996,-3.143,11.228,11.166,3.173,3.207,3.763,0.948,0.934,66.667,66.667
