ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk1,2.118,3.182,2.572,0.6,0.89,0.812,4.989,10.549,10.357,5.036,11.233,11.042,2.506,3.256,3.264,0.994,0.985,7.143,3.571
1089-134686-0000_260-123440-0016,Spk1,2.114,3.063,2.796,0.661,0.9,0.892,7.087,12.134,12.083,7.152,13.17,13.108,3.252,3.226,3.3,0.994,0.99,0.0,0.0
1089-134686-0000_260-123440-0016,Spk2,1.324,2.675,2.65,0.455,0.891,0.867,-6.899,11.524,11.485,-6.668,13.871,13.822,3.252,3.1,3.527,0.951,0.953,6.25,6.25
1089-134691-0016_260-123286-0009,Spk1,1.469,3.321,3.119,0.303,0.826,0.814,-6.311,13.517,13.45,-6.107,14.192,14.133,2.704,3.416,3.624,0.985,0.977,0.0,0.0
1089-134691-0016_260-123286-0009,Spk2,1.97,2.862,2.221,0.664,0.885,0.793,6.303,11.132,10.851,6.37,13.008,12.634,2.704,3.338,3.345,0.982,0.978,0.0,0.0
1089-134691-0019_2830-3980-0011,Spk1,2.005,2.781,2.631,0.615,0.918,0.896,1.737,11.345,11.326,1.989,13.735,13.713,2.526,3.013,3.326,0.969,0.966,0.0,0.0
1089-134691-0019_672-122797-0023,Spk1,1.786,3.3,2.919,0.599,0.913,0.894,6.201,11.206,11.148,6.567,14.608,14.501,3.196,3.333,3.491,0.969,0.957,0.0,0.0
1089-134691-0019_672-122797-0023,Spk2,1.431,3.721,3.224,0.427,0.857,0.818,-6.456,10.989,10.727,-3.85,13.853,13.525,3.196,3.25,3.528,0.974,0.958,8.333,8.333
1089-134691-0020_7021-85628-0000,Spk2,1.728,3.157,3.198,0.749,0.947,0.942,-0.921,12.263,12.237,-0.728,18.315,18.211,2.679,3.04,3.541,0.932,0.973,0.0,0.0
1089-134691-0022_2830-3979-0000,Spk1,1.52,2.997,2.78,0.405,0.902,0.88,-5.599,14.266,14.277,-5.457,15.304,15.325,3.277,3.245,3.626,0.985,0.962,0.0,0.0
1089-134691-0022_2830-3979-0000,Spk2,1.899,2.984,2.933,0.594,0.807,0.798,5.825,13.396,13.382,5.88,14.494,14.478,3.277,3.199,3.277,0.991,0.987,0.0,0.0
