ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk2,1.307,2.654,2.477,0.489,0.798,0.771,-5.14,9.291,9.239,-5.072,11.022,10.963,2.506,2.893,3.248,0.988,0.985,10.526,10.526
1089-134691-0015_672-122797-0050,Spk1,1.904,3.652,3.443,0.431,0.586,0.534,5.312,16.642,16.585,5.335,18.925,18.934,3.524,3.058,3.325,0.975,0.978,0.0,20.0
1089-134691-0017_5142-36586-0004,Spk1,1.803,3.367,2.875,0.636,0.918,0.899,6.298,14.64,14.492,6.455,15.902,15.735,3.341,3.033,3.143,0.988,0.986,0.0,0.0
1089-134691-0017_5142-36586-0004,Spk2,1.311,2.733,2.492,0.422,0.912,0.872,-6.556,13.371,13.093,-6.099,14.428,14.109,3.341,2.949,3.186,0.981,0.984,0.0,0.0
1089-134691-0018_4970-29095-0024,Spk1,1.299,3.059,3.147,0.222,0.611,0.613,-8.393,14.744,14.741,-7.662,17.091,17.129,3.157,3.119,3.732,0.952,0.945,0.0,0.0
1089-134691-0019_2830-3980-0011,Spk2,1.737,3.099,2.311,0.541,0.833,0.748,-1.859,12.735,12.417,-1.578,14.241,13.871,2.526,2.976,3.172,0.985,0.977,0.0,10.0
1089-134691-0020_7021-85628-0000,Spk1,1.889,3.752,3.276,0.507,0.863,0.804,0.842,16.102,16.08,1.037,18.105,18.073,2.679,2.879,3.17,0.975,0.968,0.0,0.0
1089-134691-0020_908-31957-0004,Spk1,1.63,3.647,3.349,0.436,0.87,0.828,-2.389,14.884,14.827,-2.146,17.281,17.171,3.189,2.846,3.082,0.947,0.944,0.0,0.0
1089-134691-0023_1580-141083-0000,Spk1,2.013,3.515,3.057,0.655,0.893,0.849,7.284,12.677,12.488,7.352,13.68,13.465,2.346,3.209,3.133,0.988,0.988,0.0,0.0
1089-134691-0023_8224-274381-0011,Spk2,1.426,2.631,2.5,0.448,0.736,0.699,2.692,11.556,11.457,2.793,15.686,15.561,2.958,3.125,3.078,0.972,0.972,0.0,0.0
1089-134691-0025_5105-28233-0004,Spk2,1.377,2.891,2.125,0.295,0.799,0.76,-6.909,7.789,7.659,-6.557,8.83,8.714,2.85,3.171,3.672,0.972,0.93,0.0,15.385
1188-133604-0001_1995-1826-0012,Spk2,1.625,3.437,2.847,0.65,0.902,0.84,2.946,13.293,13.265,3.015,16.948,16.864,3.193,3.024,3.469,0.989,0.989,0.0,17.647
1188-133604-0003_672-122797-0056,Spk1,1.766,3.049,2.376,0.479,0.723,0.672,2.467,12.113,12.034,2.69,15.107,14.997,2.9,3.237,3.245,0.978,0.981,0.0,0.0
1188-133604-0003_672-122797-0056,Spk2,1.726,3.427,2.805,0.541,0.82,0.762,-2.693,10.938,10.772,-2.457,13.628,13.436,2.9,3.104,3.043,0.984,0.988,20.0,0.0
1188-133604-0003_8230-279154-0014,Spk2,1.772,2.98,2.675,0.611,0.911,0.865,1.097,13.744,13.602,1.142,15.113,14.946,3.139,3.146,3.204,0.979,0.979,0.0,0.0
1188-133604-0004_672-122797-0017,Spk1,1.575,1.678,1.734,0.443,0.626,0.608,2.227,5.64,5.632,2.446,7.993,7.979,3.065,3.145,3.482,0.954,0.953,0.0,0.0
1188-133604-0005_1580-141083-0020,Spk1,1.501,3.089,2.623,0.44,0.753,0.719,0.44,12.048,11.941,0.536,15.581,15.42,2.761,3.17,3.2,0.975,0.976,5.263,15.789
1188-133604-0005_4446-2271-0003,Spk1,2.066,3.506,3.003,0.536,0.803,0.749,4.812,12.095,12.001,4.951,16.169,15.973,2.963,3.382,3.116,0.987,0.977,18.75,18.75
1188-133604-0010_61-70970-0014,Spk1,1.386,2.358,2.303,0.31,0.577,0.611,-2.156,12.137,12.168,-1.671,15.281,15.407,2.651,3.179,3.547,0.958,0.961,0.0,14.286
1188-133604-0012_5105-28241-0016,Spk1,1.585,2.812,2.323,0.444,0.729,0.674,0.786,12.869,12.721,0.828,15.162,15.058,3.026,3.076,3.156,0.974,0.975,0.0,15.0
1188-133604-0019_8224-274384-0008,Spk2,1.666,2.474,2.247,0.579,0.883,0.802,-4.05,10.634,10.474,-3.98,14.047,13.809,3.694,3.213,3.841,0.991,0.992,3.333,13.333
1188-133604-0022_1320-122617-0034,Spk1,1.399,2.609,2.455,0.279,0.626,0.57,-6.931,8.703,8.678,-6.822,9.853,9.83,3.505,3.054,3.611,0.981,0.977,0.0,13.793
1188-133604-0025_121-121726-0010,Spk1,1.564,3.177,2.775,0.573,0.805,0.773,0.829,12.103,12.01,0.878,15.105,14.958,3.72,3.186,3.257,0.98,0.985,8.696,13.043
1188-133604-0025_121-121726-0010,Spk2,1.767,3.286,2.9,0.618,0.893,0.848,-0.688,11.294,11.143,-0.389,12.865,12.711,3.72,3.025,3.228,0.98,0.981,0.0,14.286
1188-133604-0025_4992-23283-0016,Spk1,1.632,2.166,2.002,0.53,0.848,0.833,0.544,6.231,6.156,1.051,8.233,8.144,3.243,2.992,3.452,0.978,0.978,6.667,13.333
1188-133604-0025_6829-68769-0005,Spk1,1.781,3.243,2.807,0.592,0.823,0.756,3.761,12.525,12.355,3.838,15.646,15.414,3.028,3.173,3.396,0.985,0.987,0.0,13.636
1188-133604-0025_6829-68769-0005,Spk2,1.493,3.068,2.714,0.49,0.91,0.794,-3.88,13.455,13.044,-3.683,14.325,13.916,3.028,2.918,3.185,0.974,0.98,5.556,5.556
1188-133604-0027_4446-2275-0032,Spk1,2.202,3.317,3.526,0.626,0.802,0.813,4.792,12.081,12.058,4.875,16.585,16.522,2.89,3.316,3.677,0.979,0.969,14.286,14.286
1188-133604-0029_1284-1180-0013,Spk1,1.628,3.215,3.273,0.479,0.728,0.712,2.31,12.477,12.404,2.394,16.398,16.259,3.29,3.442,3.246,0.983,0.981,0.0,0.0
1188-133604-0029_4077-13751-0006,Spk1,1.662,2.696,3.134,0.428,0.656,0.712,1.391,12.386,12.443,1.525,15.257,15.358,2.887,3.169,3.035,0.978,0.976,0.0,0.0
1188-133604-0036_2961-960-0007,Spk1,1.422,3.092,2.523,0.519,0.86,0.772,-0.752,12.125,11.973,-0.61,15.445,15.19,2.147,3.384,3.677,0.988,0.983,0.0,12.5
1188-133604-0036_4507-16021-0015,Spk2,1.409,2.902,2.864,0.465,0.836,0.831,-6.924,7.584,7.586,-6.552,16.105,16.155,2.632,2.975,3.284,0.973,0.964,16.667,16.667
1188-133604-0038_1995-1837-0012,Spk1,1.786,3.269,2.992,0.581,0.895,0.873,3.348,12.327,12.289,3.394,15.369,15.321,3.198,3.313,3.04,0.982,0.982,0.0,0.0
1188-133604-0038_5142-33396-0043,Spk1,1.389,3.186,2.868,0.561,0.851,0.81,1.05,13.349,13.275,1.134,16.905,16.781,3.145,3.215,3.15,0.975,0.973,7.692,0.0
1188-133604-0040_2094-142345-0057,Spk1,1.555,3.047,3.062,0.332,0.749,0.712,-2.674,12.465,12.407,-2.388,16.748,16.646,2.931,3.357,3.878,0.976,0.953,0.0,12.5
