N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1,2.118,3.182,2.572,0.6,0.89,0.812,4.989,10.549,10.357,5.036,11.233,11.042,2.506,3.256,3.264,0.994,0.985,7.143,3.571
2,1.712,2.918,2.524,0.544,0.844,0.792,-0.075,9.92,9.798,-0.018,11.128,11.002,2.506,3.074,3.256,0.991,0.985,8.834,7.048
3,1.846,2.966,2.615,0.583,0.863,0.825,2.312,10.658,10.56,2.372,11.808,11.704,2.755,3.125,3.271,0.992,0.987,5.89,4.699
4,1.716,2.894,2.624,0.551,0.87,0.836,0.009,10.874,10.791,0.112,12.324,12.234,2.879,3.119,3.335,0.982,0.978,5.98,5.087
5,1.753,3.045,2.788,0.527,0.813,0.775,1.07,12.028,11.95,1.157,13.644,13.574,3.008,3.107,3.333,0.98,0.978,4.784,8.069
6,1.741,3.043,2.723,0.531,0.803,0.748,-0.007,11.74,11.457,0.085,13.827,13.379,3.094,3.153,3.23,0.98,0.976,10.653,11.724
7,1.702,3.083,2.78,0.499,0.807,0.758,-0.908,11.994,11.742,-0.799,13.879,13.487,3.038,3.19,3.286,0.98,0.976,9.131,10.05
8,1.736,3.055,2.71,0.519,0.816,0.762,-0.006,11.886,11.631,0.097,13.77,13.38,2.996,3.209,3.294,0.981,0.976,7.99,8.793
9,1.743,3.09,2.728,0.532,0.828,0.777,0.694,12.192,11.948,0.803,14.007,13.642,3.035,3.189,3.277,0.981,0.977,7.102,7.816
10,1.7,3.054,2.705,0.521,0.836,0.787,-0.031,12.31,12.063,0.113,14.049,13.688,3.065,3.165,3.268,0.981,0.978,6.392,7.035
11,1.664,3.055,2.745,0.494,0.816,0.771,-0.791,12.531,12.306,-0.594,14.325,14.001,3.074,3.161,3.31,0.979,0.975,5.811,6.395
12,1.756,3.107,2.791,0.521,0.826,0.782,0.013,12.658,12.442,0.206,14.413,14.104,3.081,3.159,3.26,0.979,0.975,5.327,5.862
13,1.775,3.082,2.779,0.528,0.833,0.791,0.145,12.557,12.356,0.343,14.361,14.074,3.038,3.148,3.265,0.979,0.975,4.917,5.411
14,1.772,3.084,2.746,0.529,0.833,0.788,0.002,12.57,12.361,0.206,14.352,14.059,3.001,3.136,3.258,0.979,0.975,4.566,5.739
15,1.773,3.098,2.757,0.534,0.839,0.795,0.415,12.479,12.28,0.63,14.369,14.089,3.014,3.149,3.274,0.978,0.974,4.261,5.356
16,1.752,3.137,2.786,0.527,0.84,0.796,-0.014,12.386,12.183,0.35,14.337,14.054,3.026,3.155,3.29,0.978,0.973,4.516,5.542
17,1.76,3.173,2.815,0.526,0.841,0.797,0.036,12.604,12.412,0.39,14.559,14.29,3.005,3.139,3.283,0.978,0.972,4.25,5.216
18,1.758,3.172,2.836,0.538,0.847,0.805,-0.017,12.585,12.402,0.328,14.767,14.508,2.987,3.133,3.297,0.975,0.972,4.014,4.927
19,1.751,3.197,2.863,0.533,0.848,0.806,-0.142,12.706,12.53,0.198,14.9,14.648,2.998,3.118,3.286,0.974,0.971,3.803,4.667
20,1.758,3.179,2.829,0.54,0.85,0.804,-0.011,12.576,12.401,0.321,14.86,14.608,3.007,3.118,3.285,0.973,0.969,3.613,5.934
21,1.747,3.17,2.827,0.534,0.852,0.808,-0.277,12.656,12.491,0.046,14.881,14.642,3.02,3.125,3.301,0.974,0.969,3.441,5.651
22,1.754,3.162,2.832,0.537,0.85,0.808,0.0,12.69,12.531,0.311,14.863,14.635,3.032,3.128,3.3,0.975,0.969,3.284,5.395
23,1.765,3.177,2.841,0.542,0.852,0.809,0.317,12.689,12.529,0.617,14.812,14.584,3.002,3.131,3.293,0.975,0.97,3.141,5.16
24,1.745,3.175,2.816,0.536,0.852,0.809,-0.002,12.653,12.466,0.3,14.73,14.477,2.975,3.134,3.308,0.976,0.971,3.01,4.945
25,1.75,3.18,2.816,0.537,0.854,0.811,-0.11,12.688,12.495,0.193,14.715,14.458,2.974,3.127,3.31,0.976,0.971,2.89,4.747
26,1.738,3.159,2.804,0.534,0.849,0.807,-0.003,12.644,12.455,0.293,14.752,14.5,2.973,3.127,3.301,0.976,0.971,2.779,4.565
27,1.741,3.164,2.784,0.537,0.85,0.807,0.016,12.771,12.57,0.303,14.831,14.567,2.985,3.128,3.32,0.976,0.972,2.676,4.66
28,1.731,3.157,2.777,0.536,0.849,0.806,0.005,12.925,12.728,0.287,14.947,14.689,2.996,3.127,3.323,0.976,0.971,3.601,5.514
29,1.727,3.141,2.768,0.539,0.849,0.806,0.239,12.876,12.681,0.512,14.863,14.609,2.991,3.13,3.321,0.976,0.971,3.723,5.57
30,1.715,3.133,2.747,0.53,0.848,0.804,0.001,12.706,12.514,0.277,14.662,14.413,2.986,3.132,3.333,0.976,0.97,3.599,5.897
31,1.717,3.135,2.753,0.527,0.842,0.799,-0.088,12.709,12.521,0.183,14.69,14.447,2.993,3.143,3.337,0.976,0.97,3.483,5.707
32,1.714,3.145,2.756,0.53,0.844,0.8,0.007,12.728,12.544,0.272,14.761,14.522,2.999,3.139,3.342,0.976,0.971,3.374,6.08
33,1.716,3.142,2.744,0.529,0.84,0.796,0.081,12.709,12.529,0.345,14.771,14.536,2.996,3.142,3.339,0.976,0.971,3.272,5.896
34,1.716,3.15,2.746,0.529,0.84,0.795,-0.001,12.657,12.477,0.263,14.737,14.504,2.993,3.141,3.33,0.977,0.972,3.764,5.723
35,1.722,3.142,2.734,0.528,0.836,0.791,-0.032,12.649,12.47,0.226,14.747,14.516,2.997,3.146,3.334,0.977,0.972,3.656,5.559
36,1.724,3.138,2.733,0.53,0.838,0.793,-0.001,12.679,12.502,0.251,14.757,14.528,3.001,3.146,3.33,0.977,0.972,3.555,5.405
37,1.72,3.098,2.706,0.528,0.832,0.788,0.059,12.489,12.316,0.31,14.574,14.351,3.003,3.146,3.335,0.976,0.972,3.459,5.259
38,1.711,3.072,2.687,0.529,0.83,0.786,-0.002,12.252,12.081,0.247,14.35,14.131,3.005,3.139,3.336,0.976,0.972,3.368,5.413
39,1.706,3.073,2.686,0.527,0.828,0.784,0.01,12.247,12.077,0.254,14.382,14.164,2.998,3.14,3.333,0.976,0.972,3.416,5.679
40,1.701,3.087,2.696,0.527,0.83,0.787,-0.003,12.251,12.084,0.24,14.356,14.14,2.992,3.126,3.319,0.977,0.972,3.331,5.831
41,1.71,3.097,2.704,0.527,0.829,0.786,0.114,12.248,12.082,0.355,14.4,14.185,2.992,3.132,3.314,0.977,0.972,3.707,6.146
42,1.7,3.085,2.701,0.525,0.829,0.786,-0.011,12.155,11.992,0.232,14.394,14.182,2.991,3.131,3.327,0.977,0.972,3.619,6.0
43,1.694,3.072,2.69,0.518,0.825,0.782,-0.178,12.096,11.934,0.071,14.328,14.118,2.979,3.135,3.335,0.976,0.972,3.902,6.35
44,1.709,3.082,2.696,0.525,0.828,0.785,-0.014,12.179,12.018,0.232,14.381,14.172,2.967,3.116,3.313,0.977,0.971,3.813,6.205
45,1.706,3.067,2.687,0.52,0.824,0.782,-0.122,12.191,12.032,0.121,14.393,14.188,2.968,3.122,3.328,0.977,0.972,3.728,6.216
46,1.713,3.082,2.697,0.523,0.826,0.782,-0.016,12.194,12.035,0.223,14.391,14.185,2.969,3.117,3.319,0.977,0.972,3.647,6.081
47,1.706,3.067,2.688,0.518,0.82,0.779,-0.061,12.193,12.038,0.183,14.41,14.211,2.962,3.118,3.324,0.977,0.972,3.57,6.255
48,1.719,3.074,2.684,0.523,0.822,0.779,-0.019,12.222,12.061,0.222,14.435,14.23,2.956,3.121,3.325,0.977,0.972,3.495,6.125
49,1.724,3.083,2.696,0.525,0.823,0.78,0.052,12.236,12.077,0.295,14.491,14.288,2.972,3.125,3.334,0.977,0.972,3.424,6.0
50,1.718,3.082,2.698,0.523,0.825,0.783,-0.025,12.265,12.108,0.224,14.501,14.301,2.987,3.123,3.34,0.977,0.972,3.355,5.88
51,1.715,3.077,2.691,0.521,0.823,0.78,-0.01,12.277,12.12,0.235,14.514,14.316,2.988,3.122,3.337,0.977,0.972,3.29,6.059
52,1.715,3.079,2.693,0.521,0.823,0.781,-0.026,12.242,12.087,0.217,14.452,14.256,2.989,3.119,3.34,0.977,0.972,3.226,6.038
53,1.71,3.073,2.697,0.519,0.821,0.781,-0.1,12.245,12.092,0.141,14.461,14.268,2.989,3.117,3.345,0.977,0.972,3.165,5.924
54,1.713,3.074,2.692,0.52,0.823,0.782,-0.029,12.227,12.074,0.209,14.453,14.259,2.989,3.118,3.346,0.977,0.972,3.107,5.815
55,1.719,3.074,2.695,0.519,0.823,0.782,0.027,12.237,12.087,0.265,14.488,14.297,2.987,3.129,3.353,0.977,0.972,3.05,5.709
56,1.714,3.066,2.694,0.518,0.823,0.783,-0.022,12.189,12.041,0.226,14.501,14.313,2.984,3.132,3.356,0.977,0.973,2.996,5.607
57,1.716,3.063,2.696,0.518,0.823,0.782,0.031,12.195,12.047,0.277,14.514,14.325,2.992,3.14,3.366,0.977,0.973,2.943,5.626
58,1.715,3.058,2.69,0.518,0.824,0.782,-0.017,12.158,12.012,0.226,14.473,14.286,3.0,3.143,3.376,0.977,0.973,2.946,5.582
59,1.716,3.065,2.697,0.521,0.825,0.784,0.065,12.185,12.04,0.305,14.517,14.332,3.004,3.143,3.382,0.977,0.973,2.896,5.488
60,1.711,3.066,2.7,0.519,0.827,0.785,-0.018,12.232,12.086,0.22,14.54,14.354,3.009,3.148,3.386,0.977,0.973,2.959,5.507
61,1.709,3.066,2.701,0.521,0.828,0.787,0.113,12.244,12.1,0.348,14.555,14.371,3.013,3.149,3.386,0.977,0.973,2.911,5.417
62,1.702,3.052,2.689,0.518,0.827,0.786,-0.017,12.189,12.045,0.221,14.501,14.317,3.018,3.148,3.39,0.977,0.973,3.133,5.733
63,1.703,3.049,2.689,0.519,0.827,0.786,0.018,12.176,12.033,0.256,14.48,14.297,3.019,3.148,3.39,0.977,0.973,3.083,5.642
64,1.705,3.052,2.692,0.518,0.828,0.787,-0.015,12.159,12.016,0.23,14.439,14.258,3.02,3.148,3.39,0.978,0.973,3.035,5.554
65,1.716,3.055,2.69,0.521,0.828,0.787,0.035,12.181,12.039,0.277,14.464,14.283,3.031,3.145,3.388,0.978,0.973,2.988,5.468
66,1.722,3.054,2.696,0.522,0.829,0.788,-0.015,12.183,12.042,0.226,14.459,14.279,3.043,3.145,3.39,0.977,0.972,2.943,5.386
