ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk1,1.867,2.971,2.491,0.482,0.834,0.778,3.506,9.634,9.541,3.267,10.569,10.474,2.404,3.287,3.477,0.98,0.988,8.411,4.839
1089-134686-0000_121-127105-0031,Spk2,1.326,2.353,2.264,0.417,0.739,0.712,-5.442,7.876,7.808,-5.644,9.516,9.436,2.404,3.086,3.237,0.969,0.979,11.794,11.794
1089-134686-0000_260-123440-0016,Spk1,1.982,2.887,2.695,0.594,0.881,0.861,5.702,11.049,11.002,5.493,12.447,12.389,2.18,3.445,3.389,0.986,0.998,1.268,1.268
1089-134686-0000_260-123440-0016,Spk2,1.275,2.426,2.28,0.38,0.813,0.798,-6.954,9.543,9.522,-6.973,12.072,12.046,2.18,3.213,3.727,0.94,0.942,7.518,7.518
1089-134686-0000_61-70968-0047,Spk1,1.582,2.368,2.3,0.386,0.853,0.839,0.311,10.94,10.933,0.221,12.428,12.418,1.894,3.129,3.423,0.976,0.98,1.268,1.268
1089-134686-0000_61-70968-0047,Spk2,1.576,2.874,2.748,0.445,0.842,0.846,-1.215,10.593,10.563,-1.281,11.747,11.715,1.894,3.013,2.952,0.972,0.974,1.268,1.268
1089-134686-0002_7729-102255-0037,Spk1,1.617,2.904,2.546,0.468,0.839,0.817,-1.249,9.416,9.367,-1.445,10.408,10.352,2.576,3.025,3.205,0.967,0.973,1.268,12.379
1089-134686-0002_7729-102255-0037,Spk2,1.538,2.357,2.412,0.48,0.773,0.76,0.239,6.011,6.009,0.037,10.874,10.856,2.576,3.216,3.321,0.965,0.981,12.379,17.935
1089-134686-0004_1284-1180-0027,Spk1,1.511,3.415,3.224,0.451,0.899,0.866,-0.107,13.944,13.927,-0.28,15.18,15.155,1.918,3.101,3.049,0.944,0.962,1.268,1.268
1089-134686-0004_1284-1180-0027,Spk2,1.288,2.67,2.604,0.386,0.856,0.834,-0.992,11.118,11.095,-1.019,14.543,14.508,1.918,3.136,3.539,0.966,0.984,1.268,1.268
1089-134686-0004_6829-68771-0005,Spk1,1.498,2.385,2.204,0.36,0.713,0.715,-6.264,10.281,10.249,-6.264,11.158,11.119,2.298,2.875,3.013,0.954,0.972,19.45,37.632
1089-134686-0004_6829-68771-0005,Spk2,1.559,2.662,2.173,0.544,0.829,0.76,2.133,10.444,10.382,1.937,11.875,11.81,2.298,2.745,3.301,0.94,0.948,8.96,8.96
1089-134686-0004_8463-294828-0016,Spk1,1.413,3.104,2.854,0.432,0.854,0.872,-1.688,14.996,14.995,-1.873,16.349,16.345,2.035,2.969,3.297,0.936,0.968,1.268,1.268
1089-134686-0004_8463-294828-0016,Spk2,1.616,3.115,2.493,0.457,0.854,0.84,0.443,11.586,11.485,0.293,14.077,13.939,2.035,3.25,3.568,0.977,0.99,29.839,44.125
1089-134686-0005_7176-92135-0020,Spk1,1.529,2.593,2.409,0.36,0.758,0.716,-2.002,7.247,7.178,-2.188,7.881,7.816,2.205,3.232,3.404,0.964,0.971,1.268,29.046
1089-134686-0005_7176-92135-0020,Spk2,1.605,2.034,2.074,0.518,0.708,0.69,1.018,6.08,6.043,0.77,7.498,7.46,2.205,2.623,3.278,0.939,0.982,41.268,41.268
1089-134686-0006_1580-141083-0022,Spk1,1.423,2.903,2.523,0.343,0.864,0.848,-0.124,12.717,12.687,-0.237,14.375,14.333,1.887,3.163,3.335,0.925,0.95,1.268,1.268
1089-134686-0006_1580-141083-0022,Spk2,1.277,3.089,2.803,0.333,0.741,0.741,-6.057,9.908,9.925,-5.619,13.232,13.267,1.887,2.84,2.93,0.937,0.953,11.268,31.268
1089-134686-0006_4446-2271-0018,Spk1,1.728,3.027,2.755,0.55,0.881,0.855,1.276,10.176,10.127,1.038,11.537,11.469,2.175,3.35,3.358,0.961,0.975,1.268,1.268
1089-134686-0006_4446-2271-0018,Spk2,1.471,2.348,2.178,0.511,0.771,0.764,-1.046,8.594,8.597,-1.269,13.721,13.716,2.175,2.916,3.115,0.938,0.961,1.268,1.268
1089-134686-0007_1995-1836-0000,Spk1,1.531,2.512,2.428,0.27,0.758,0.725,-1.162,11.024,11.017,-1.31,12.334,12.319,1.743,3.009,3.277,0.968,0.976,1.268,1.268
1089-134686-0007_1995-1836-0000,Spk2,1.243,2.492,2.225,0.458,0.878,0.871,-0.213,9.548,9.518,-0.282,11.277,11.236,1.743,2.883,3.107,0.933,0.948,11.268,11.268
1089-134686-0007_7021-85628-0018,Spk1,1.509,2.576,2.259,0.387,0.792,0.76,-1.168,9.312,9.278,-1.365,10.271,10.228,2.05,3.224,3.432,0.979,0.987,1.268,1.268
1089-134686-0007_7021-85628-0018,Spk2,1.393,2.027,2.212,0.46,0.81,0.818,0.632,5.558,5.562,0.403,8.842,8.843,2.05,3.196,3.241,0.936,0.962,10.359,10.359
1089-134686-0007_8455-210777-0052,Spk1,1.617,2.795,2.45,0.384,0.777,0.738,1.753,12.004,11.995,1.614,13.459,13.445,1.643,3.157,3.561,0.962,0.972,1.268,1.268
1089-134686-0007_8455-210777-0052,Spk2,1.885,2.48,2.444,0.381,0.694,0.687,-4.043,8.149,8.032,-3.418,12.131,11.93,1.643,2.82,3.061,0.931,0.918,21.268,21.268
1089-134686-0008_672-122797-0007,Spk1,1.471,2.548,2.451,0.438,0.795,0.775,-0.275,9.571,9.539,-0.47,10.544,10.504,2.095,3.031,3.287,0.975,0.978,1.268,1.268
1089-134686-0008_672-122797-0007,Spk2,1.59,2.799,2.654,0.375,0.674,0.658,-3.332,9.102,9.065,-3.526,11.712,11.666,2.095,2.946,2.967,0.963,0.988,1.268,1.268
1089-134686-0008_8230-279154-0012,Spk1,1.72,3.292,2.567,0.559,0.878,0.807,0.164,12.715,12.535,0.092,13.965,13.79,2.398,3.025,3.505,0.979,0.978,23.49,12.379
1089-134686-0008_8230-279154-0012,Spk2,1.574,2.776,2.396,0.403,0.804,0.761,-0.499,12.534,12.529,-0.491,15.067,15.062,2.398,3.344,3.814,0.959,0.968,15.554,15.554
1089-134686-0010_4507-16021-0023,Spk1,1.846,3.188,3.037,0.504,0.878,0.862,0.748,13.489,13.478,0.561,14.443,14.429,1.584,2.87,3.176,0.939,0.954,1.268,1.268
1089-134686-0010_4507-16021-0023,Spk2,1.368,2.721,2.529,0.315,0.777,0.791,-4.474,8.435,8.438,-4.612,13.857,13.866,1.584,2.919,3.464,0.934,0.924,86.982,115.554
1089-134686-0011_1320-122612-0004,Spk1,1.576,3.262,2.625,0.412,0.812,0.784,-5.535,12.67,12.585,-5.547,13.679,13.587,2.851,3.152,3.555,0.973,0.977,1.268,1.268
1089-134686-0011_1320-122612-0004,Spk2,1.553,2.934,2.349,0.613,0.898,0.812,4.8,11.777,11.672,4.575,14.698,14.526,2.851,3.218,3.434,0.981,0.992,1.268,1.268
1089-134686-0013_3570-5695-0000,Spk1,1.685,2.868,2.715,0.377,0.79,0.778,-1.919,11.61,11.595,-1.925,12.708,12.683,2.131,3.344,3.388,0.968,0.97,8.411,8.411
