ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk2,1.326,2.353,2.264,0.411,0.743,0.715,-5.724,8.178,8.105,-5.644,9.516,9.436,2.426,3.085,3.241,0.976,0.973,10.526,10.526
1089-134686-0000_260-123440-0016,Spk2,1.275,2.426,2.28,0.374,0.817,0.801,-7.236,9.845,9.819,-6.973,12.072,12.046,2.202,3.212,3.731,0.947,0.936,6.25,6.25
1089-134686-0002_7729-102255-0037,Spk1,1.617,2.904,2.546,0.462,0.844,0.82,-1.531,9.718,9.664,-1.445,10.408,10.352,2.598,3.024,3.209,0.974,0.967,0.0,11.111
1089-134686-0002_7729-102255-0037,Spk2,1.538,2.357,2.412,0.474,0.778,0.763,-0.043,6.313,6.306,0.037,10.874,10.856,2.598,3.215,3.325,0.972,0.975,11.111,16.667
1089-134686-0004_1284-1180-0027,Spk1,1.511,3.415,3.224,0.445,0.904,0.869,-0.389,14.246,14.224,-0.28,15.18,15.155,1.94,3.1,3.053,0.951,0.956,0.0,0.0
1089-134686-0004_6829-68771-0005,Spk2,1.559,2.662,2.173,0.538,0.834,0.763,1.851,10.746,10.679,1.937,11.875,11.81,2.32,2.744,3.305,0.947,0.942,7.692,7.692
1089-134686-0006_1580-141083-0022,Spk1,1.423,2.903,2.523,0.337,0.869,0.851,-0.406,13.019,12.984,-0.237,14.375,14.333,1.909,3.162,3.339,0.932,0.944,0.0,0.0
1089-134686-0006_4446-2271-0018,Spk2,1.471,2.348,2.178,0.505,0.776,0.767,-1.328,8.896,8.894,-1.269,13.721,13.716,2.197,2.915,3.118,0.945,0.955,0.0,0.0
1089-134686-0007_1995-1836-0000,Spk2,1.243,2.492,2.225,0.452,0.883,0.874,-0.495,9.85,9.815,-0.282,11.277,11.236,1.765,2.882,3.11,0.94,0.942,10.0,10.0
1089-134686-0007_7021-85628-0018,Spk2,1.393,2.027,2.212,0.454,0.815,0.821,0.35,5.86,5.859,0.403,8.842,8.843,2.072,3.195,3.244,0.943,0.956,9.091,9.091
1089-134686-0008_8230-279154-0012,Spk2,1.574,2.776,2.396,0.397,0.809,0.764,-0.781,12.836,12.826,-0.491,15.067,15.062,2.42,3.343,3.817,0.966,0.962,14.286,14.286
1089-134686-0010_4507-16021-0023,Spk1,1.846,3.188,3.037,0.498,0.883,0.865,0.466,13.791,13.775,0.561,14.443,14.429,1.606,2.869,3.179,0.946,0.948,0.0,0.0
1089-134686-0015_4970-29093-0003,Spk1,1.741,3.067,2.856,0.596,0.817,0.798,5.304,12.393,12.348,5.337,13.255,13.202,2.174,3.38,3.235,0.975,0.978,7.143,7.143
1089-134686-0016_672-122797-0004,Spk2,1.378,3.088,2.67,0.281,0.636,0.635,-7.432,10.3,10.277,-7.167,12.746,12.72,2.215,3.08,3.456,0.94,0.933,14.286,14.286
1089-134686-0017_1580-141084-0045,Spk1,1.487,3.099,2.925,0.415,0.853,0.847,-0.007,12.879,12.837,0.168,14.207,14.15,2.276,3.167,3.15,0.947,0.956,0.0,12.5
