N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1,1.867,2.971,2.491,0.476,0.838,0.781,3.224,9.936,9.838,3.267,10.569,10.474,2.426,3.286,3.481,0.987,0.982,7.143,3.571
2,1.596,2.662,2.378,0.444,0.79,0.748,-1.25,9.057,8.971,-1.188,10.042,9.955,2.426,3.186,3.361,0.982,0.978,8.834,7.048
3,1.725,2.737,2.483,0.492,0.822,0.787,0.973,9.822,9.747,1.039,10.844,10.766,2.351,3.272,3.372,0.985,0.982,5.89,4.699
4,1.612,2.659,2.432,0.462,0.821,0.79,-1.079,9.828,9.765,-0.964,11.151,11.086,2.314,3.257,3.461,0.976,0.971,5.98,5.087
5,1.606,2.601,2.406,0.446,0.828,0.801,-0.857,10.11,10.058,-0.727,11.406,11.353,2.234,3.231,3.455,0.977,0.971,4.784,4.069
6,1.601,2.646,2.463,0.445,0.831,0.809,-0.964,10.241,10.192,-0.82,11.463,11.413,2.181,3.194,3.371,0.978,0.971,3.986,3.391
7,1.604,2.683,2.475,0.447,0.833,0.81,-1.045,10.166,10.116,-0.909,11.312,11.261,2.241,3.17,3.348,0.977,0.97,3.417,4.494
8,1.595,2.642,2.467,0.45,0.826,0.804,-0.92,9.685,9.64,-0.791,11.258,11.211,2.286,3.176,3.345,0.976,0.971,4.379,6.016
9,1.586,2.728,2.551,0.45,0.835,0.812,-0.861,10.192,10.149,-0.734,11.693,11.649,2.247,3.167,3.313,0.974,0.969,3.892,5.347
10,1.556,2.722,2.556,0.443,0.838,0.814,-0.902,10.314,10.274,-0.762,11.978,11.935,2.216,3.164,3.336,0.974,0.97,3.503,4.812
11,1.551,2.692,2.524,0.435,0.827,0.805,-1.415,10.339,10.298,-1.263,11.904,11.861,2.226,3.138,3.307,0.972,0.97,4.837,7.681
12,1.552,2.689,2.495,0.443,0.827,0.802,-1.143,10.373,10.33,-0.996,11.901,11.856,2.234,3.105,3.307,0.97,0.967,5.075,7.682
13,1.541,2.721,2.523,0.442,0.83,0.807,-1.207,10.752,10.712,-1.063,12.244,12.202,2.22,3.094,3.306,0.968,0.967,4.685,7.091
14,1.546,2.749,2.521,0.443,0.832,0.81,-1.109,10.833,10.788,-0.966,12.374,12.326,2.208,3.105,3.325,0.969,0.968,6.391,9.646
15,1.545,2.739,2.513,0.437,0.827,0.804,-1.187,10.614,10.567,-1.048,12.075,12.025,2.21,3.114,3.331,0.969,0.968,5.965,10.854
16,1.549,2.695,2.486,0.442,0.82,0.797,-1.067,10.349,10.303,-0.934,11.789,11.74,2.211,3.083,3.328,0.968,0.968,8.092,12.676
17,1.541,2.707,2.488,0.435,0.823,0.8,-1.028,10.506,10.461,-0.893,11.941,11.892,2.193,3.088,3.328,0.966,0.967,7.616,11.93
18,1.527,2.728,2.505,0.429,0.819,0.797,-1.323,10.49,10.448,-1.156,12.013,11.969,2.177,3.074,3.306,0.965,0.966,7.749,12.934
19,1.537,2.744,2.519,0.435,0.822,0.8,-1.201,10.489,10.446,-1.04,11.988,11.942,2.178,3.088,3.309,0.965,0.966,7.341,12.253
20,1.534,2.724,2.502,0.439,0.82,0.799,-1.208,10.41,10.369,-1.052,12.074,12.031,2.179,3.08,3.3,0.964,0.966,6.974,11.641
21,1.534,2.714,2.498,0.431,0.817,0.795,-1.219,10.453,10.414,-1.064,12.087,12.045,2.159,3.076,3.299,0.964,0.966,6.642,11.086
