ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0004_1284-1180-0027,Spk1,1.625,3.669,3.505,0.536,0.937,0.898,0.636,15.976,15.915,0.722,17.171,17.092,3.115,3.111,2.989,0.975,0.982,0.0,0.0
1089-134686-0004_6829-68771-0005,Spk1,1.526,3.072,2.945,0.512,0.891,0.892,-5.148,13.619,13.605,-4.956,14.227,14.213,2.797,2.968,3.324,0.976,0.979,9.091,18.182
1089-134686-0005_7176-92135-0020,Spk2,1.702,2.211,1.992,0.57,0.779,0.766,1.781,7.037,6.989,1.803,7.731,7.689,3.187,2.943,3.131,0.974,0.985,26.667,60.0
1089-134686-0006_1580-141083-0022,Spk1,1.68,3.528,3.183,0.651,0.953,0.937,3.551,17.278,17.216,3.674,18.465,18.377,2.154,3.187,3.594,0.969,0.983,0.0,0.0
1089-134686-0006_1580-141083-0022,Spk2,1.339,3.836,3.08,0.401,0.886,0.864,-4.021,15.122,14.993,-3.337,17.282,17.093,2.154,2.771,3.084,0.97,0.976,0.0,10.0
1089-134686-0006_4446-2271-0018,Spk2,1.364,2.291,2.29,0.519,0.799,0.789,-1.084,8.789,8.794,-1.028,14.097,14.112,3.308,2.823,2.869,0.96,0.976,0.0,0.0
1089-134686-0008_672-122797-0007,Spk2,1.636,3.111,2.881,0.464,0.739,0.699,-1.955,10.695,10.56,-1.889,13.293,13.161,2.59,2.905,2.855,0.987,0.988,0.0,0.0
1089-134686-0010_4507-16021-0023,Spk2,1.481,3.116,2.701,0.43,0.859,0.835,-3.242,9.543,9.52,-3.139,16.136,16.076,1.915,2.934,3.717,0.96,0.977,14.286,14.286
1089-134686-0013_7127-75946-0007,Spk2,1.765,2.776,2.502,0.444,0.677,0.681,-3.45,5.44,5.415,-3.287,8.3,8.261,2.747,2.761,3.219,0.984,0.987,0.0,0.0
1089-134686-0017_1580-141084-0045,Spk1,1.472,3.684,3.476,0.58,0.918,0.909,2.418,15.052,14.955,2.597,16.803,16.672,3.05,3.168,2.973,0.974,0.984,12.5,0.0
1089-134686-0022_8455-210777-0023,Spk1,1.712,3.258,2.475,0.556,0.863,0.81,0.865,15.223,14.976,1.641,15.81,15.536,1.993,3.198,3.338,0.967,0.983,0.0,31.25
1089-134686-0024_5683-32865-0016,Spk2,1.222,2.763,2.75,0.525,0.859,0.859,-4.705,11.153,11.121,-4.321,12.809,12.748,3.126,3.019,3.368,0.96,0.963,33.333,33.333
1089-134686-0029_121-127105-0007,Spk1,1.363,3.003,2.728,0.402,0.851,0.836,-4.232,13.782,13.667,-4.052,14.615,14.488,2.725,2.907,3.229,0.962,0.974,9.091,9.091
1089-134686-0032_6829-68771-0030,Spk1,1.787,3.065,2.821,0.617,0.857,0.825,3.709,14.386,14.236,3.792,15.374,15.188,2.792,2.914,2.847,0.981,0.982,0.0,0.0
1089-134686-0034_8455-210777-0067,Spk1,2.019,3.366,2.605,0.637,0.864,0.815,-1.441,14.556,14.051,-1.392,15.386,14.842,3.398,3.333,3.18,0.978,0.98,11.111,22.222
1089-134686-0034_8463-294828-0036,Spk2,1.979,3.479,3.12,0.645,0.885,0.838,3.521,11.349,11.261,3.626,14.194,14.049,2.449,3.085,2.944,0.992,0.997,0.0,0.0
1089-134686-0035_2300-131720-0025,Spk1,1.885,3.332,2.728,0.496,0.894,0.868,2.385,12.862,12.77,2.743,14.388,14.252,2.872,3.161,3.312,0.956,0.963,0.0,11.111
1089-134686-0037_2094-142345-0001,Spk1,1.958,3.225,2.445,0.632,0.85,0.775,1.615,13.296,13.179,1.758,14.288,14.14,2.413,3.309,3.338,0.961,0.972,0.0,7.692
1089-134686-0037_4446-2271-0000,Spk2,1.365,2.358,2.357,0.454,0.803,0.8,-3.802,8.424,8.412,-3.236,15.081,15.036,2.65,3.4,3.761,0.954,0.971,22.222,0.0
1089-134691-0002_4507-16021-0036,Spk1,2.303,3.018,2.802,0.595,0.873,0.843,2.533,9.476,9.45,2.573,10.65,10.614,2.948,3.02,3.117,0.988,0.99,0.0,0.0
1089-134691-0002_8455-210777-0005,Spk2,1.476,2.929,2.718,0.542,0.888,0.873,-3.442,10.823,10.787,-2.945,14.017,13.95,3.038,3.213,3.748,0.98,0.982,12.5,6.25
1089-134691-0005_908-157963-0011,Spk2,2.061,2.881,2.233,0.551,0.784,0.638,3.483,8.43,8.384,3.552,14.355,14.222,3.084,3.337,3.223,0.967,0.968,0.0,16.667
1089-134691-0006_4446-2275-0012,Spk1,1.728,2.991,2.629,0.591,0.877,0.851,3.974,12.248,12.168,4.04,13.272,13.182,2.518,2.935,3.422,0.965,0.98,0.0,0.0
1089-134691-0006_4446-2275-0026,Spk1,1.58,3.106,2.644,0.536,0.864,0.841,1.132,12.642,12.572,1.206,13.689,13.607,2.48,3.152,3.229,0.981,0.983,0.0,0.0
1089-134691-0012_1320-122612-0015,Spk1,1.755,3.372,3.056,0.504,0.906,0.886,-1.793,11.914,11.807,-1.773,12.976,12.848,3.104,3.287,3.306,0.985,0.992,0.0,0.0
1089-134691-0013_4992-23283-0007,Spk1,1.582,3.398,2.72,0.442,0.889,0.848,-2.922,13.761,13.614,-2.665,15.208,15.03,2.94,3.191,3.43,0.957,0.967,0.0,11.111
1089-134691-0013_4992-23283-0007,Spk2,1.441,3.054,3.046,0.592,0.909,0.886,2.956,10.691,10.639,3.076,16.035,15.911,2.94,3.102,3.387,0.974,0.981,0.0,0.0
1089-134691-0015_3575-170457-0015,Spk2,1.745,3.195,3.027,0.65,0.887,0.841,0.203,14.053,13.988,0.339,16.942,16.843,3.134,2.99,3.177,0.969,0.975,22.222,11.111
1089-134691-0015_5683-32879-0011,Spk1,1.813,3.004,2.974,0.415,0.57,0.492,4.041,13.353,13.308,4.139,15.182,15.139,2.785,3.018,2.559,0.962,0.979,0.0,0.0
1089-134691-0015_672-122797-0050,Spk1,1.904,3.652,3.395,0.431,0.586,0.523,5.312,16.642,16.59,5.335,18.925,18.938,3.524,3.057,3.52,0.975,0.979,0.0,20.0
1089-134691-0017_5142-36586-0004,Spk2,1.311,2.733,2.485,0.422,0.912,0.873,-6.556,13.371,13.068,-6.099,14.428,14.086,3.341,2.948,3.014,0.981,0.984,0.0,0.0
1089-134691-0020_7021-85628-0000,Spk2,1.728,3.157,3.285,0.749,0.947,0.943,-0.921,12.263,12.239,-0.728,18.315,18.216,2.679,3.039,3.405,0.932,0.972,0.0,0.0
1089-134691-0023_1580-141083-0000,Spk1,2.013,3.515,3.056,0.655,0.893,0.851,7.284,12.677,12.505,7.352,13.68,13.482,2.346,3.208,3.202,0.988,0.992,0.0,0.0
