ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_260-123440-0016,Spk1,2.114,3.063,2.781,0.661,0.9,0.885,7.087,12.134,12.083,7.152,13.17,13.109,3.252,3.225,2.95,0.994,0.993,0.0,0.0
1089-134686-0000_61-70968-0047,Spk2,1.696,3.328,3.127,0.568,0.921,0.907,-0.853,13.215,13.156,-0.62,14.675,14.613,2.424,2.886,2.834,0.987,0.977,0.0,0.0
1089-134686-0004_1284-1180-0027,Spk1,1.625,3.669,3.505,0.536,0.937,0.898,0.636,15.976,15.915,0.722,17.171,17.092,3.115,3.111,2.989,0.975,0.982,0.0,0.0
1089-134686-0004_8463-294828-0016,Spk2,1.733,3.527,2.693,0.551,0.928,0.887,1.141,12.895,12.63,1.235,15.792,15.343,2.928,3.221,3.496,0.991,0.984,0.0,28.571
1089-134686-0005_7176-92135-0020,Spk1,1.682,2.984,2.871,0.462,0.828,0.785,-1.669,10.063,10.028,-1.573,10.479,10.444,3.187,3.279,3.456,0.988,0.979,0.0,22.222
1089-134686-0005_7176-92135-0020,Spk2,1.702,2.211,1.992,0.57,0.779,0.766,1.781,7.037,6.989,1.803,7.731,7.689,3.187,2.943,3.131,0.974,0.985,26.667,60.0
1089-134686-0006_4446-2271-0018,Spk2,1.364,2.291,2.29,0.519,0.799,0.789,-1.084,8.789,8.794,-1.028,14.097,14.112,3.308,2.823,2.869,0.96,0.976,0.0,0.0
1089-134686-0008_672-122797-0007,Spk2,1.636,3.111,2.881,0.464,0.739,0.699,-1.955,10.695,10.56,-1.889,13.293,13.161,2.59,2.905,2.855,0.987,0.988,0.0,0.0
1089-134686-0008_8230-279154-0012,Spk1,1.877,3.439,2.863,0.628,0.919,0.856,0.285,14.302,14.065,0.489,15.237,14.967,3.305,3.058,3.241,0.988,0.984,22.222,22.222
1089-134686-0013_3570-5695-0000,Spk1,1.777,2.855,2.649,0.457,0.836,0.811,-1.43,13.09,13.068,-1.152,13.939,13.909,2.706,3.215,2.882,0.979,0.972,7.143,7.143
1089-134686-0013_3570-5695-0000,Spk2,1.644,3.103,2.612,0.566,0.877,0.826,1.44,12.196,12.176,1.562,16.38,16.315,2.706,2.702,2.551,0.986,0.982,0.0,0.0
1089-134686-0015_4970-29093-0003,Spk1,2.162,3.28,2.955,0.694,0.862,0.837,6.521,13.18,13.109,6.543,14.034,13.95,2.63,3.271,2.991,0.988,0.985,0.0,7.143
1089-134686-0015_5142-33396-0067,Spk2,1.342,2.739,2.327,0.592,0.83,0.736,-4.098,13.602,13.378,-3.706,14.266,14.03,2.617,2.812,3.056,0.987,0.978,9.091,22.727
1089-134686-0016_672-122797-0004,Spk1,2.629,3.078,2.48,0.78,0.905,0.878,5.469,12.615,12.538,5.513,13.589,13.5,2.608,2.856,2.993,0.98,0.976,0.0,0.0
1089-134686-0017_1580-141084-0045,Spk1,1.472,3.684,3.476,0.58,0.918,0.909,2.418,15.052,14.955,2.597,16.803,16.672,3.05,3.168,2.973,0.974,0.984,12.5,0.0
1089-134686-0019_5142-33396-0021,Spk1,2.218,3.75,3.161,0.655,0.906,0.823,7.019,15.305,15.048,7.067,17.018,16.677,2.425,3.074,2.834,0.988,0.98,0.0,0.0
1089-134686-0019_5142-33396-0021,Spk2,1.197,2.908,2.796,0.369,0.876,0.874,-7.069,14.141,14.062,-6.831,15.29,15.214,2.425,2.942,2.97,0.985,0.983,14.286,14.286
1089-134686-0022_8455-210777-0023,Spk1,1.712,3.258,2.475,0.556,0.863,0.81,0.865,15.223,14.976,1.641,15.81,15.536,1.993,3.198,3.338,0.967,0.983,0.0,31.25
1089-134686-0024_5683-32865-0016,Spk1,1.687,2.57,2.179,0.54,0.845,0.767,4.277,11.37,11.3,4.392,12.338,12.256,3.126,3.048,2.473,0.972,0.968,11.111,0.0
1089-134686-0024_5683-32865-0016,Spk2,1.222,2.763,2.75,0.525,0.859,0.859,-4.705,11.153,11.121,-4.321,12.809,12.748,3.126,3.019,3.368,0.96,0.963,33.333,33.333
1089-134686-0025_7127-75947-0035,Spk2,1.377,3.232,2.71,0.477,0.895,0.878,-4.801,12.108,12.037,-4.361,13.347,13.257,2.938,3.077,2.951,0.991,0.989,0.0,0.0
1089-134686-0029_121-127105-0007,Spk2,2.071,3.554,3.287,0.738,0.919,0.886,4.089,10.689,10.643,4.154,12.149,12.095,2.725,2.675,2.877,0.987,0.984,0.0,0.0
1089-134686-0032_4507-16021-0049,Spk2,1.636,2.87,2.584,0.591,0.819,0.748,3.599,10.695,10.584,3.684,16.541,16.266,3.125,2.728,2.773,0.963,0.92,8.333,8.333
1089-134686-0032_6829-68771-0030,Spk1,1.787,3.065,2.821,0.617,0.857,0.825,3.709,14.386,14.236,3.792,15.374,15.188,2.792,2.914,2.847,0.981,0.982,0.0,0.0
1089-134686-0032_6829-68771-0030,Spk2,1.414,2.983,2.397,0.487,0.915,0.862,-3.909,10.88,10.722,-3.668,11.671,11.512,2.792,3.037,2.954,0.977,0.964,0.0,8.333
1089-134686-0034_5639-40744-0005,Spk2,1.769,3.108,2.898,0.672,0.893,0.851,5.48,9.275,9.229,5.58,10.625,10.588,3.651,3.054,3.42,0.98,0.972,6.25,25.0
1089-134686-0034_8455-210777-0067,Spk1,2.019,3.366,2.605,0.637,0.864,0.815,-1.441,14.556,14.051,-1.392,15.386,14.842,3.398,3.333,3.18,0.978,0.98,11.111,22.222
1089-134686-0034_8463-294828-0036,Spk2,1.979,3.479,3.12,0.645,0.885,0.838,3.521,11.349,11.261,3.626,14.194,14.049,2.449,3.085,2.944,0.992,0.997,0.0,0.0
1089-134686-0037_2094-142345-0001,Spk2,1.385,2.149,2.027,0.401,0.781,0.749,-1.658,1.347,1.253,-1.502,8.234,8.151,2.413,3.163,3.63,0.985,0.982,0.0,0.0
1089-134686-0037_4446-2271-0000,Spk1,2.183,3.329,2.856,0.563,0.854,0.786,3.728,14.615,14.447,3.959,15.718,15.503,2.65,3.131,2.946,0.97,0.954,0.0,0.0
1089-134691-0002_4507-16021-0036,Spk2,1.577,2.706,2.304,0.487,0.776,0.764,-2.619,9.362,9.32,-2.371,13.777,13.673,2.948,2.91,3.032,0.939,0.917,11.111,66.667
1089-134691-0006_4446-2275-0026,Spk2,1.48,3.302,2.914,0.47,0.903,0.877,-1.156,12.7,12.581,-0.979,13.813,13.657,2.48,2.339,2.781,0.984,0.978,0.0,0.0
