ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk1,2.118,3.182,2.542,0.599,0.902,0.83,4.864,11.201,11.061,5.036,11.233,11.084,2.519,3.352,3.583,0.997,0.996,3.392,1.212
1089-134686-0000_121-127105-0031,Spk2,1.307,2.654,2.517,0.488,0.81,0.785,-5.265,9.943,9.89,-5.072,11.022,10.954,2.519,2.989,3.487,0.991,0.987,6.775,4.595
1089-134686-0000_260-123440-0016,Spk1,2.114,3.063,2.781,0.66,0.912,0.898,6.962,12.786,12.742,7.152,13.17,13.109,3.265,3.321,3.141,0.997,0.997,-3.751,-5.931
1089-134686-0000_260-123440-0016,Spk2,1.324,2.675,2.605,0.454,0.903,0.864,-7.024,12.176,12.141,-6.668,13.871,13.814,3.265,3.195,3.783,0.954,0.951,2.499,-5.931
1089-134686-0000_61-70968-0047,Spk1,1.608,2.702,2.292,0.423,0.9,0.885,0.62,11.782,11.711,0.936,12.071,11.981,2.437,3.042,3.709,0.992,0.991,-3.751,-5.931
1089-134686-0000_61-70968-0047,Spk2,1.696,3.328,3.127,0.567,0.933,0.92,-0.978,13.867,13.815,-0.62,14.675,14.613,2.437,2.982,3.025,0.99,0.981,-3.751,-5.931
1089-134686-0002_7729-102255-0037,Spk1,1.692,3.097,2.734,0.537,0.891,0.87,-0.965,11.79,11.735,-0.767,11.813,11.746,3.353,3.202,3.342,0.98,0.98,-3.751,5.18
1089-134686-0002_7729-102255-0037,Spk2,1.658,2.497,2.523,0.543,0.811,0.794,0.782,7.463,7.459,0.967,11.784,11.754,3.353,3.221,3.406,0.989,0.988,1.805,-0.375
1089-134686-0004_1284-1180-0027,Spk1,1.625,3.669,3.505,0.535,0.949,0.911,0.511,16.628,16.574,0.722,17.171,17.092,3.128,3.207,3.18,0.978,0.986,-3.751,-5.931
1089-134686-0004_1284-1180-0027,Spk2,1.348,3.162,3.076,0.507,0.933,0.904,-0.581,13.828,13.756,-0.196,16.963,16.872,3.128,3.242,3.502,0.99,0.984,-3.751,3.16
