ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk1,2.118,3.182,1.794,0.599,0.902,0.668,4.864,11.201,4.924,5.036,11.233,5.038,2.519,3.352,2.677,0.997,0.933,3.392,31.247
1089-134686-0000_121-127105-0031,Spk2,1.307,2.654,1.769,0.488,0.81,0.623,-5.265,9.943,3.753,-5.072,11.022,4.909,2.519,2.989,2.581,0.991,0.924,6.775,34.63
1089-134686-0000_260-123440-0016,Spk1,2.114,3.063,2.033,0.66,0.912,0.736,6.962,12.786,6.605,7.152,13.17,7.064,3.265,3.321,2.235,0.997,0.934,-3.751,24.104
1089-134686-0000_260-123440-0016,Spk2,1.324,2.675,1.857,0.454,0.903,0.702,-7.024,12.176,6.004,-6.668,13.871,7.769,3.265,3.195,2.877,0.954,0.888,2.499,24.104
1089-134686-0000_61-70968-0047,Spk1,1.608,2.702,1.544,0.423,0.9,0.723,0.62,11.782,5.574,0.936,12.071,5.936,2.437,3.042,2.803,0.992,0.928,-3.751,24.104
1089-134686-0000_61-70968-0047,Spk2,1.696,3.328,2.379,0.567,0.933,0.758,-0.978,13.867,7.678,-0.62,14.675,8.568,2.437,2.982,2.119,0.99,0.918,-3.751,24.104
1089-134686-0002_7729-102255-0037,Spk1,1.692,3.097,1.986,0.537,0.891,0.708,-0.965,11.79,5.598,-0.767,11.813,5.701,3.353,3.202,2.436,0.98,0.917,-3.751,35.215
1089-134686-0002_7729-102255-0037,Spk2,1.658,2.497,1.775,0.543,0.811,0.632,0.782,7.463,1.322,0.967,11.784,5.709,3.353,3.221,2.5,0.989,0.925,1.805,29.66
1089-134686-0004_1284-1180-0027,Spk1,1.625,3.669,2.757,0.535,0.949,0.749,0.511,16.628,10.437,0.722,17.171,11.047,3.128,3.207,2.274,0.978,0.923,-3.751,24.104
1089-134686-0004_1284-1180-0027,Spk2,1.348,3.162,2.328,0.507,0.933,0.742,-0.581,13.828,7.619,-0.196,16.963,10.827,3.128,3.242,2.596,0.99,0.921,-3.751,33.195
1089-134686-0004_6829-68771-0005,Spk1,1.526,3.072,2.197,0.511,0.903,0.743,-5.273,14.271,8.127,-4.956,14.227,8.168,2.81,3.064,2.609,0.979,0.92,5.34,42.286
1089-134686-0004_6829-68771-0005,Spk2,1.863,3.203,1.731,0.685,0.907,0.65,5.435,13.621,7.166,5.657,13.598,7.241,2.81,2.805,2.318,0.975,0.912,-3.751,39.489
1089-134686-0004_8463-294828-0016,Spk1,1.655,3.447,2.46,0.469,0.93,0.735,-1.439,18.19,11.911,-1.226,18.754,12.538,2.941,3.232,2.603,0.966,0.878,-3.751,36.604
1089-134686-0004_8463-294828-0016,Spk2,1.733,3.527,1.945,0.55,0.94,0.738,1.016,13.547,7.152,1.235,15.792,9.298,2.941,3.317,2.781,0.994,0.925,-3.751,52.675
1089-134686-0005_7176-92135-0020,Spk1,1.682,2.984,2.123,0.461,0.84,0.636,-1.794,10.715,4.55,-1.573,10.479,4.399,3.2,3.375,2.741,0.991,0.92,-3.751,46.326
1089-134686-0005_7176-92135-0020,Spk2,1.702,2.211,1.244,0.569,0.791,0.617,1.656,7.689,1.511,1.803,7.731,1.644,3.2,3.039,2.416,0.977,0.926,22.916,84.104
1089-134686-0006_1580-141083-0022,Spk1,1.68,3.528,2.435,0.65,0.965,0.788,3.426,17.93,11.738,3.674,18.465,12.332,2.167,3.283,2.879,0.972,0.924,-3.751,24.104
1089-134686-0006_1580-141083-0022,Spk2,1.339,3.836,2.332,0.4,0.898,0.715,-4.146,15.774,9.515,-3.337,17.282,11.048,2.167,2.867,2.369,0.973,0.917,-3.751,34.104
1089-134686-0006_4446-2271-0018,Spk1,1.938,3.217,2.261,0.593,0.936,0.769,1.12,11.58,5.429,1.277,12.049,5.974,3.321,3.455,2.663,0.978,0.912,-3.751,24.104
1089-134686-0006_4446-2271-0018,Spk2,1.364,2.291,1.542,0.518,0.811,0.64,-1.209,9.441,3.316,-1.028,14.097,8.067,3.321,2.919,2.154,0.963,0.917,-3.751,24.104
