N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1,2.118,3.182,1.794,0.599,0.902,0.668,4.864,11.201,4.924,5.036,11.233,5.038,2.519,3.352,2.677,0.997,0.933,3.392,31.247
2,1.712,2.918,1.781,0.544,0.856,0.646,-0.2,10.572,4.338,-0.018,11.128,4.974,2.519,3.17,2.629,0.994,0.929,5.084,32.939
3,1.846,2.966,1.865,0.582,0.875,0.676,2.187,11.31,5.094,2.372,11.808,5.67,2.768,3.221,2.498,0.995,0.93,2.139,29.994
4,1.716,2.894,1.863,0.55,0.882,0.682,-0.116,11.526,5.322,0.112,12.324,6.195,2.892,3.214,2.593,0.985,0.92,2.229,28.521
5,1.694,2.855,1.799,0.525,0.885,0.69,0.031,11.578,5.372,0.277,12.273,6.143,2.801,3.18,2.635,0.986,0.921,1.033,27.638
6,1.694,2.934,1.896,0.532,0.893,0.702,-0.137,11.959,5.756,0.127,12.674,6.547,2.74,3.147,2.549,0.987,0.921,0.236,27.049
7,1.694,2.957,1.909,0.533,0.893,0.703,-0.255,11.935,5.734,-0.0,12.551,6.426,2.828,3.155,2.533,0.986,0.92,-0.334,28.215
8,1.69,2.9,1.892,0.534,0.883,0.694,-0.126,11.376,5.182,0.12,12.455,6.337,2.894,3.163,2.528,0.986,0.921,-0.067,28.396
9,1.682,2.985,1.988,0.534,0.89,0.7,-0.055,11.96,5.766,0.187,12.979,6.86,2.92,3.168,2.5,0.985,0.921,-0.476,27.919
10,1.649,3.003,2.022,0.531,0.894,0.704,-0.107,12.146,5.951,0.149,13.377,7.257,2.94,3.175,2.51,0.986,0.921,-0.804,28.447
11,1.638,3.009,2.038,0.529,0.895,0.708,-0.577,12.34,6.149,-0.315,13.455,7.34,2.929,3.165,2.519,0.985,0.921,-0.245,29.705
12,1.657,3.025,2.013,0.542,0.896,0.703,-0.076,12.446,6.234,0.183,13.467,7.331,2.919,3.135,2.502,0.984,0.92,-0.537,30.52
13,1.656,3.058,2.047,0.537,0.899,0.705,-0.181,12.888,6.671,0.074,13.873,7.732,2.92,3.143,2.51,0.983,0.917,-0.784,30.988
14,1.662,3.091,2.04,0.538,0.902,0.708,-0.095,12.935,6.705,0.157,14.01,7.844,2.922,3.155,2.529,0.984,0.918,-0.996,32.537
15,1.663,3.084,2.045,0.533,0.898,0.703,-0.209,12.787,6.561,0.042,13.775,7.614,2.94,3.17,2.543,0.984,0.918,-1.18,33.456
16,1.666,3.03,1.995,0.535,0.891,0.698,-0.092,12.469,6.246,0.152,13.397,7.241,2.957,3.162,2.535,0.984,0.918,0.326,36.622
17,1.667,3.059,2.021,0.542,0.895,0.703,0.115,12.79,6.569,0.359,13.695,7.54,2.91,3.169,2.556,0.983,0.919,0.086,35.886
18,1.648,3.102,2.038,0.534,0.895,0.704,-0.122,12.956,6.732,0.154,13.894,7.735,2.869,3.152,2.545,0.982,0.919,-0.127,35.787
19,1.664,3.108,2.05,0.537,0.898,0.707,-0.056,12.883,6.664,0.213,13.797,7.643,2.893,3.168,2.551,0.982,0.918,-0.318,35.172
20,1.649,3.067,2.025,0.536,0.893,0.704,-0.114,12.711,6.496,0.151,13.812,7.664,2.914,3.155,2.532,0.981,0.918,-0.489,34.618
21,1.645,3.061,2.01,0.527,0.892,0.701,-0.135,12.772,6.559,0.129,13.846,7.698,2.928,3.16,2.552,0.982,0.919,-0.645,34.118
22,1.636,3.063,2.011,0.531,0.894,0.703,-0.105,12.838,6.627,0.161,13.92,7.776,2.94,3.155,2.554,0.982,0.918,0.123,34.572
23,1.632,3.056,2.0,0.529,0.893,0.701,-0.156,12.743,6.535,0.107,13.78,7.64,2.948,3.163,2.554,0.982,0.918,-0.045,34.116
24,1.629,3.011,1.972,0.529,0.893,0.702,-0.123,12.542,6.337,0.137,13.636,7.499,2.956,3.161,2.546,0.982,0.918,0.179,34.078
25,1.646,3.016,1.963,0.535,0.893,0.701,0.026,12.618,6.413,0.286,13.696,7.559,2.964,3.178,2.555,0.983,0.918,0.022,33.679
26,1.646,3.011,1.963,0.533,0.889,0.696,-0.112,12.52,6.317,0.18,13.688,7.553,2.97,3.174,2.563,0.983,0.918,0.646,34.08
27,1.648,3.004,1.963,0.535,0.888,0.696,-0.041,12.485,6.283,0.246,13.614,7.48,2.957,3.168,2.562,0.983,0.918,0.483,33.711
28,1.648,3.008,1.969,0.532,0.884,0.691,-0.114,12.444,6.24,0.17,13.603,7.467,2.944,3.162,2.547,0.983,0.919,0.332,33.368
29,1.656,3.023,1.974,0.535,0.885,0.691,-0.104,12.531,6.321,0.181,13.659,7.517,2.957,3.162,2.547,0.983,0.919,0.957,33.814
30,1.656,3.02,1.975,0.533,0.885,0.691,-0.115,12.614,6.405,0.175,13.753,7.614,2.969,3.168,2.562,0.983,0.919,1.277,33.967
31,1.67,3.041,1.993,0.539,0.888,0.693,-0.005,12.772,6.564,0.281,13.878,7.739,2.935,3.16,2.558,0.984,0.919,1.115,33.649
32,1.664,3.043,1.992,0.536,0.887,0.693,-0.11,12.691,6.485,0.174,13.948,7.811,2.904,3.156,2.572,0.983,0.919,1.409,33.797
33,1.663,3.055,1.996,0.533,0.887,0.693,-0.272,12.777,6.57,0.013,14.003,7.864,2.897,3.16,2.579,0.983,0.919,1.253,33.503
34,1.662,3.057,1.987,0.537,0.888,0.693,-0.101,12.804,6.595,0.182,14.061,7.918,2.89,3.163,2.582,0.984,0.919,1.105,33.227
35,1.665,3.051,1.985,0.535,0.887,0.692,-0.142,12.831,6.624,0.144,14.058,7.917,2.885,3.168,2.57,0.984,0.919,1.171,33.17
36,1.664,3.053,1.982,0.536,0.887,0.692,-0.102,12.832,6.626,0.183,14.122,7.982,2.88,3.157,2.55,0.984,0.919,1.034,32.918
37,1.674,3.054,1.985,0.539,0.886,0.691,-0.002,12.823,6.618,0.282,14.081,7.943,2.877,3.16,2.55,0.984,0.919,1.098,32.873
38,1.676,3.047,1.979,0.537,0.88,0.687,-0.096,12.646,6.442,0.188,13.929,7.792,2.874,3.152,2.549,0.984,0.919,0.97,32.642
39,1.689,3.053,1.985,0.541,0.88,0.687,0.07,12.676,6.473,0.351,13.932,7.795,2.868,3.158,2.542,0.984,0.92,0.849,32.607
40,1.684,3.055,1.978,0.54,0.88,0.686,-0.098,12.754,6.539,0.182,13.984,7.833,2.862,3.158,2.547,0.984,0.919,0.734,32.707
41,1.687,3.064,1.984,0.542,0.881,0.686,0.002,12.806,6.59,0.28,14.008,7.858,2.857,3.163,2.552,0.984,0.919,0.625,32.671
42,1.679,3.056,1.975,0.543,0.88,0.683,-0.098,12.84,6.621,0.185,14.014,7.861,2.851,3.157,2.547,0.984,0.919,0.737,33.008
43,1.701,3.057,1.969,0.549,0.881,0.684,0.028,12.85,6.632,0.309,14.005,7.851,2.846,3.152,2.541,0.984,0.919,0.633,32.801
44,1.701,3.068,1.982,0.547,0.878,0.682,-0.097,12.873,6.654,0.185,14.035,7.882,2.841,3.152,2.543,0.984,0.919,0.533,32.603
45,1.696,3.082,1.998,0.547,0.879,0.683,-0.044,12.936,6.716,0.238,14.097,7.943,2.846,3.154,2.536,0.984,0.919,0.716,32.414
46,1.691,3.094,1.998,0.547,0.88,0.684,-0.097,12.971,6.745,0.188,14.144,7.981,2.85,3.158,2.541,0.984,0.919,0.618,32.234
47,1.702,3.108,2.007,0.549,0.881,0.684,0.052,13.035,6.805,0.335,14.205,8.037,2.842,3.159,2.532,0.984,0.919,0.525,32.061
