ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk1,2.118,3.182,2.542,0.6,0.89,0.817,4.989,10.549,10.402,5.036,11.233,11.084,2.506,3.256,3.392,0.994,0.992,7.143,7.143
1089-134686-0000_121-127105-0031,Spk2,1.307,2.654,2.517,0.489,0.798,0.772,-5.14,9.291,9.231,-5.072,11.022,10.954,2.506,2.893,3.296,0.988,0.983,10.526,10.526
1089-134686-0000_61-70968-0047,Spk1,1.608,2.702,2.292,0.424,0.888,0.872,0.745,11.13,11.052,0.936,12.071,11.981,2.424,2.946,3.518,0.989,0.987,0.0,0.0
1089-134686-0004_1284-1180-0027,Spk2,1.348,3.162,3.076,0.508,0.921,0.891,-0.456,13.176,13.097,-0.196,16.963,16.872,3.115,3.146,3.311,0.987,0.98,0.0,9.091
1089-134686-0006_1580-141083-0022,Spk1,1.68,3.528,3.183,0.651,0.953,0.937,3.551,17.278,17.216,3.674,18.465,18.377,2.154,3.187,3.594,0.969,0.983,0.0,0.0
1089-134686-0006_4446-2271-0018,Spk1,1.938,3.217,3.009,0.594,0.924,0.918,1.245,10.928,10.907,1.277,12.049,12.019,3.308,3.359,3.378,0.975,0.971,0.0,0.0
1089-134686-0007_1995-1836-0000,Spk1,1.581,2.93,2.459,0.354,0.861,0.796,-0.42,13.348,13.279,-0.309,14.527,14.436,3.186,3.162,3.678,0.992,0.989,0.0,0.0
1089-134686-0007_7021-85628-0018,Spk1,1.54,2.9,2.506,0.49,0.861,0.811,-1.155,9.998,9.971,-1.087,10.707,10.678,3.122,3.238,3.277,0.99,0.99,0.0,0.0
1089-134686-0007_8455-210777-0052,Spk1,2.053,3.138,2.513,0.684,0.881,0.822,3.722,13.795,13.726,3.859,15.139,15.049,3.127,3.481,3.489,0.994,0.979,0.0,0.0
1089-134686-0008_672-122797-0007,Spk1,1.709,2.823,2.71,0.569,0.869,0.849,1.919,10.918,10.875,1.978,11.682,11.637,2.59,2.91,3.252,0.988,0.983,0.0,0.0
1089-134686-0011_1320-122612-0004,Spk1,1.631,3.438,2.874,0.457,0.863,0.837,-5.339,14.892,14.764,-5.134,15.754,15.625,2.646,3.195,3.498,0.986,0.978,0.0,0.0
1089-134686-0011_1320-122612-0004,Spk2,1.615,3.112,2.454,0.662,0.926,0.854,5.686,13.039,12.907,5.737,15.982,15.749,2.646,3.189,3.4,0.991,0.99,0.0,0.0
1089-134686-0013_7127-75946-0007,Spk1,2.008,3.105,2.86,0.674,0.819,0.809,3.715,11.856,11.823,3.834,12.605,12.566,2.747,3.173,3.272,0.982,0.979,7.143,7.143
1089-134686-0015_5142-33396-0067,Spk1,1.801,3.425,2.993,0.636,0.893,0.835,4.154,14.222,14.123,4.208,14.993,14.881,2.617,3.267,3.468,0.988,0.98,0.0,7.143
1089-134686-0016_672-122797-0004,Spk2,1.696,3.563,3.287,0.453,0.733,0.71,-5.365,13.218,13.072,-5.178,15.352,15.24,2.608,3.022,3.328,0.964,0.957,0.0,0.0
1089-134686-0017_1580-141084-0045,Spk2,1.467,3.652,2.712,0.516,0.906,0.869,-2.372,13.901,13.513,-2.062,16.277,15.731,3.05,3.263,3.47,0.989,0.984,0.0,0.0
1089-134686-0021_4992-41797-0018,Spk1,1.756,3.607,3.326,0.504,0.919,0.877,-0.78,18.072,17.856,-0.711,18.74,18.508,3.055,2.977,3.45,0.992,0.986,0.0,5.882
1089-134686-0021_4992-41797-0018,Spk2,1.533,3.31,3.083,0.599,0.927,0.901,0.742,13.587,13.497,0.782,16.977,16.818,3.055,3.174,3.693,0.993,0.989,0.0,7.143
1089-134686-0022_8455-210777-0023,Spk2,1.671,3.118,2.59,0.64,0.909,0.877,-0.871,11.054,10.829,-0.781,14.141,13.79,1.993,3.468,3.794,0.977,0.972,7.143,0.0
1089-134686-0023_6829-68771-0020,Spk1,1.714,2.95,2.275,0.617,0.889,0.798,1.731,13.42,12.968,1.808,13.947,13.567,2.087,3.379,3.76,0.993,0.982,0.0,7.692
1089-134686-0023_6829-68771-0020,Spk2,1.455,2.938,2.627,0.559,0.917,0.902,-1.852,13.653,13.55,-1.718,14.295,14.21,2.087,3.293,3.524,0.98,0.966,0.0,7.143
1089-134686-0024_1995-1836-0013,Spk2,1.378,3.497,3.378,0.597,0.922,0.906,2.55,12.556,12.554,2.638,18.566,18.551,2.141,3.179,3.443,0.985,0.982,7.143,7.143
1089-134686-0028_6829-68771-0025,Spk1,1.673,3.651,3.252,0.614,0.942,0.89,2.369,17.057,16.694,2.394,18.066,17.653,2.352,3.223,3.255,0.994,0.984,0.0,0.0
1089-134686-0028_6829-68771-0025,Spk2,1.408,2.884,2.681,0.462,0.919,0.879,-2.233,12.827,12.703,-2.172,13.488,13.374,2.352,3.254,3.566,0.981,0.964,9.091,9.091
1089-134686-0028_8224-274384-0005,Spk1,1.653,3.089,2.745,0.529,0.886,0.838,-2.7,11.316,11.214,-2.505,11.746,11.653,3.072,3.289,3.612,0.984,0.972,0.0,0.0
1089-134686-0031_1320-122612-0008,Spk2,1.501,3.107,2.375,0.52,0.892,0.786,-3.767,13.072,12.917,-3.587,15.277,15.048,2.519,3.231,3.722,0.98,0.971,4.762,4.762
