ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk1,2.118,3.182,2.542,0.6,0.89,0.817,4.989,10.549,10.402,5.036,11.233,11.084,2.506,3.256,3.392,0.994,0.992,7.143,7.143
1089-134686-0000_121-127105-0031,Spk2,1.307,2.654,2.517,0.489,0.798,0.772,-5.14,9.291,9.231,-5.072,11.022,10.954,2.506,2.893,3.296,0.988,0.983,10.526,10.526
1089-134686-0000_260-123440-0016,Spk1,2.114,3.063,2.781,0.661,0.9,0.885,7.087,12.134,12.083,7.152,13.17,13.109,3.252,3.225,2.95,0.994,0.993,0.0,0.0
1089-134686-0000_260-123440-0016,Spk2,1.324,2.675,2.605,0.455,0.891,0.851,-6.899,11.524,11.482,-6.668,13.871,13.814,3.252,3.099,3.592,0.951,0.947,6.25,0.0
1089-134686-0000_61-70968-0047,Spk1,1.608,2.702,2.292,0.424,0.888,0.872,0.745,11.13,11.052,0.936,12.071,11.981,2.424,2.946,3.518,0.989,0.987,0.0,0.0
1089-134686-0000_61-70968-0047,Spk2,1.696,3.328,3.127,0.568,0.921,0.907,-0.853,13.215,13.156,-0.62,14.675,14.613,2.424,2.886,2.834,0.987,0.977,0.0,0.0
1089-134686-0002_7729-102255-0037,Spk1,1.692,3.097,2.734,0.538,0.879,0.857,-0.84,11.138,11.076,-0.767,11.813,11.746,3.34,3.106,3.151,0.977,0.976,0.0,11.111
1089-134686-0002_7729-102255-0037,Spk2,1.658,2.497,2.523,0.544,0.799,0.781,0.907,6.811,6.8,0.967,11.784,11.754,3.34,3.125,3.215,0.986,0.984,5.556,5.556
1089-134686-0004_1284-1180-0027,Spk1,1.625,3.669,3.505,0.536,0.937,0.898,0.636,15.976,15.915,0.722,17.171,17.092,3.115,3.111,2.989,0.975,0.982,0.0,0.0
1089-134686-0004_1284-1180-0027,Spk2,1.348,3.162,3.076,0.508,0.921,0.891,-0.456,13.176,13.097,-0.196,16.963,16.872,3.115,3.146,3.311,0.987,0.98,0.0,9.091
1089-134686-0004_6829-68771-0005,Spk1,1.526,3.072,2.945,0.512,0.891,0.892,-5.148,13.619,13.605,-4.956,14.227,14.213,2.797,2.968,3.324,0.976,0.979,9.091,18.182
1089-134686-0004_6829-68771-0005,Spk2,1.863,3.203,2.479,0.686,0.895,0.799,5.56,12.969,12.644,5.657,13.598,13.286,2.797,2.709,3.033,0.972,0.971,0.0,15.385
1089-134686-0004_8463-294828-0016,Spk1,1.655,3.447,3.208,0.47,0.918,0.884,-1.314,17.538,17.389,-1.226,18.754,18.583,2.928,3.136,3.318,0.963,0.937,0.0,12.5
1089-134686-0004_8463-294828-0016,Spk2,1.733,3.527,2.693,0.551,0.928,0.887,1.141,12.895,12.63,1.235,15.792,15.343,2.928,3.221,3.496,0.991,0.984,0.0,28.571
1089-134686-0005_7176-92135-0020,Spk1,1.682,2.984,2.871,0.462,0.828,0.785,-1.669,10.063,10.028,-1.573,10.479,10.444,3.187,3.279,3.456,0.988,0.979,0.0,22.222
1089-134686-0005_7176-92135-0020,Spk2,1.702,2.211,1.992,0.57,0.779,0.766,1.781,7.037,6.989,1.803,7.731,7.689,3.187,2.943,3.131,0.974,0.985,26.667,60.0
1089-134686-0006_1580-141083-0022,Spk1,1.68,3.528,3.183,0.651,0.953,0.937,3.551,17.278,17.216,3.674,18.465,18.377,2.154,3.187,3.594,0.969,0.983,0.0,0.0
1089-134686-0006_1580-141083-0022,Spk2,1.339,3.836,3.08,0.401,0.886,0.864,-4.021,15.122,14.993,-3.337,17.282,17.093,2.154,2.771,3.084,0.97,0.976,0.0,10.0
1089-134686-0006_4446-2271-0018,Spk1,1.938,3.217,3.009,0.594,0.924,0.918,1.245,10.928,10.907,1.277,12.049,12.019,3.308,3.359,3.378,0.975,0.971,0.0,0.0
1089-134686-0006_4446-2271-0018,Spk2,1.364,2.291,2.29,0.519,0.799,0.789,-1.084,8.789,8.794,-1.028,14.097,14.112,3.308,2.823,2.869,0.96,0.976,0.0,0.0
1089-134686-0007_1995-1836-0000,Spk1,1.581,2.93,2.459,0.354,0.861,0.796,-0.42,13.348,13.279,-0.309,14.527,14.436,3.186,3.162,3.678,0.992,0.989,0.0,0.0
1089-134686-0007_1995-1836-0000,Spk2,1.436,3.109,2.783,0.602,0.927,0.898,0.64,13.556,13.553,0.845,15.463,15.458,3.186,2.945,3.31,0.973,0.959,20.0,20.0
1089-134686-0007_7021-85628-0018,Spk1,1.54,2.9,2.506,0.49,0.861,0.811,-1.155,9.998,9.971,-1.087,10.707,10.678,3.122,3.238,3.277,0.99,0.99,0.0,0.0
1089-134686-0007_7021-85628-0018,Spk2,1.557,1.988,2.072,0.539,0.862,0.862,0.774,7.264,7.267,0.817,10.309,10.313,3.122,3.031,3.062,0.983,0.976,9.091,9.091
1089-134686-0007_8455-210777-0052,Spk1,2.053,3.138,2.513,0.684,0.881,0.822,3.722,13.795,13.726,3.859,15.139,15.049,3.127,3.481,3.489,0.994,0.979,0.0,0.0
1089-134686-0007_8455-210777-0052,Spk2,1.658,2.876,2.704,0.486,0.779,0.729,-3.429,9.433,9.392,-2.473,13.506,13.429,3.127,2.983,3.493,0.972,0.968,20.0,20.0
