ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_260-123440-0016,Spk2,1.324,2.675,2.605,0.455,0.891,0.851,-6.899,11.524,11.482,-6.668,13.871,13.814,3.252,3.099,3.592,0.951,0.947,6.25,0.0
1089-134686-0002_7729-102255-0037,Spk1,1.692,3.097,2.734,0.538,0.879,0.857,-0.84,11.138,11.076,-0.767,11.813,11.746,3.34,3.106,3.151,0.977,0.976,0.0,11.111
1089-134686-0002_7729-102255-0037,Spk2,1.658,2.497,2.523,0.544,0.799,0.781,0.907,6.811,6.8,0.967,11.784,11.754,3.34,3.125,3.215,0.986,0.984,5.556,5.556
1089-134686-0004_6829-68771-0005,Spk1,1.526,3.072,2.945,0.512,0.891,0.892,-5.148,13.619,13.605,-4.956,14.227,14.213,2.797,2.968,3.324,0.976,0.979,9.091,18.182
1089-134686-0004_6829-68771-0005,Spk2,1.863,3.203,2.479,0.686,0.895,0.799,5.56,12.969,12.644,5.657,13.598,13.286,2.797,2.709,3.033,0.972,0.971,0.0,15.385
1089-134686-0004_8463-294828-0016,Spk1,1.655,3.447,3.208,0.47,0.918,0.884,-1.314,17.538,17.389,-1.226,18.754,18.583,2.928,3.136,3.318,0.963,0.937,0.0,12.5
1089-134686-0006_1580-141083-0022,Spk2,1.339,3.836,3.08,0.401,0.886,0.864,-4.021,15.122,14.993,-3.337,17.282,17.093,2.154,2.771,3.084,0.97,0.976,0.0,10.0
1089-134686-0007_1995-1836-0000,Spk2,1.436,3.109,2.783,0.602,0.927,0.898,0.64,13.556,13.553,0.845,15.463,15.458,3.186,2.945,3.31,0.973,0.959,20.0,20.0
1089-134686-0007_7021-85628-0018,Spk2,1.557,1.988,2.072,0.539,0.862,0.862,0.774,7.264,7.267,0.817,10.309,10.313,3.122,3.031,3.062,0.983,0.976,9.091,9.091
1089-134686-0007_8455-210777-0052,Spk2,1.658,2.876,2.704,0.486,0.779,0.729,-3.429,9.433,9.392,-2.473,13.506,13.429,3.127,2.983,3.493,0.972,0.968,20.0,20.0
1089-134686-0008_8230-279154-0012,Spk2,1.646,2.933,2.747,0.46,0.864,0.812,-0.297,14.36,14.325,-0.01,16.494,16.454,3.305,3.258,3.733,0.978,0.969,14.286,14.286
1089-134686-0010_4507-16021-0023,Spk1,2.104,3.678,3.282,0.736,0.957,0.923,3.42,16.855,16.792,3.482,17.612,17.544,1.915,2.815,3.156,0.991,0.985,0.0,0.0
1089-134686-0010_4507-16021-0023,Spk2,1.481,3.116,2.701,0.43,0.859,0.835,-3.242,9.543,9.52,-3.139,16.136,16.076,1.915,2.934,3.717,0.96,0.977,14.286,14.286
1089-134686-0013_7127-75946-0007,Spk2,1.765,2.776,2.502,0.444,0.677,0.681,-3.45,5.44,5.415,-3.287,8.3,8.261,2.747,2.761,3.219,0.984,0.987,0.0,0.0
1089-134686-0015_4970-29093-0003,Spk2,1.525,3.141,2.449,0.505,0.872,0.786,-6.55,15.141,14.605,-6.399,16.0,15.372,2.63,3.072,3.483,0.98,0.973,0.0,12.5
1089-134686-0022_1580-141083-0044,Spk1,1.454,2.96,2.155,0.491,0.834,0.789,-0.185,14.659,14.425,-0.131,15.456,15.174,2.294,3.127,3.164,0.981,0.976,5.556,11.111
1089-134686-0022_1580-141083-0044,Spk2,1.655,3.369,2.97,0.524,0.868,0.806,0.311,13.276,13.04,0.456,14.473,14.199,2.294,2.968,3.053,0.983,0.973,0.0,0.0
1089-134686-0024_1995-1836-0013,Spk1,1.72,3.119,2.668,0.386,0.876,0.813,-2.695,13.213,13.117,-2.577,13.792,13.685,2.141,3.243,3.174,0.988,0.988,0.0,0.0
1089-134686-0024_7176-92135-0042,Spk1,1.406,2.557,2.238,0.333,0.721,0.691,-7.165,11.362,11.244,-6.877,11.901,11.793,3.421,2.993,3.574,0.98,0.971,10.526,15.789
1089-134686-0024_7176-92135-0042,Spk2,1.871,3.151,2.744,0.693,0.893,0.847,7.024,14.08,13.99,7.07,16.482,16.32,3.421,3.229,3.212,0.986,0.982,0.0,4.545
1089-134686-0025_7127-75947-0035,Spk1,1.431,3.034,2.658,0.503,0.856,0.836,4.544,16.312,16.195,4.666,17.196,17.063,2.938,3.233,3.488,0.987,0.94,0.0,0.0
1089-134686-0026_8224-274384-0010,Spk1,1.876,3.306,3.123,0.524,0.895,0.863,-3.14,11.98,11.884,-2.561,12.807,12.71,2.972,3.21,3.078,0.987,0.985,0.0,0.0
1089-134686-0026_8224-274384-0010,Spk2,1.632,2.902,2.96,0.62,0.875,0.791,3.071,11.807,11.658,3.177,15.453,15.187,2.972,3.268,3.616,0.982,0.975,0.0,12.5
1089-134686-0028_8224-274384-0005,Spk2,1.681,2.717,2.425,0.575,0.832,0.775,2.753,9.244,9.203,2.843,11.55,11.496,3.072,3.148,3.079,0.988,0.979,12.5,12.5
1089-134686-0029_121-127105-0007,Spk1,1.363,3.003,2.728,0.402,0.851,0.836,-4.232,13.782,13.667,-4.052,14.615,14.488,2.725,2.907,3.229,0.962,0.974,9.091,9.091
1089-134686-0031_1320-122612-0008,Spk1,2.105,3.056,2.626,0.628,0.883,0.84,3.647,12.244,12.102,3.71,13.214,13.061,2.519,3.24,3.131,0.99,0.984,0.0,0.0
1089-134686-0031_61-70968-0026,Spk1,1.433,3.01,2.054,0.364,0.84,0.785,-1.133,13.913,13.764,-0.965,14.98,14.837,2.712,3.057,3.683,0.978,0.976,0.0,20.0
1089-134686-0031_61-70968-0026,Spk2,1.948,3.251,2.602,0.616,0.909,0.879,1.148,14.196,14.072,1.241,16.281,16.114,2.712,3.085,3.091,0.982,0.973,0.0,0.0
1089-134686-0032_4507-16021-0049,Spk1,1.635,3.253,3.057,0.566,0.879,0.856,-3.334,16.399,16.271,-3.111,17.393,17.238,3.125,2.988,3.206,0.982,0.981,0.0,0.0
1089-134686-0033_1320-122612-0001,Spk2,1.744,2.961,2.473,0.652,0.888,0.834,4.359,13.918,13.728,4.419,16.967,16.65,3.475,3.223,3.247,0.989,0.982,0.0,0.0
1089-134686-0035_5683-32866-0010,Spk1,1.316,3.471,2.763,0.371,0.918,0.871,-7.609,14.8,14.598,-6.689,16.555,16.276,3.117,3.114,3.446,0.965,0.946,0.0,11.111
1089-134686-0035_5683-32866-0010,Spk2,1.848,2.99,2.856,0.722,0.896,0.875,6.987,5.727,5.68,7.125,8.752,8.681,3.117,3.323,3.479,0.98,0.979,12.5,0.0
1089-134686-0036_6930-75918-0008,Spk2,1.798,3.223,2.979,0.534,0.887,0.856,-1.132,8.934,8.367,-1.065,13.087,12.257,3.036,3.154,3.138,0.982,0.969,0.0,0.0
1089-134691-0002_4507-16021-0036,Spk1,2.303,3.018,2.802,0.595,0.873,0.843,2.533,9.476,9.45,2.573,10.65,10.614,2.948,3.02,3.117,0.988,0.99,0.0,0.0
1089-134691-0005_908-157963-0011,Spk1,1.573,3.15,2.455,0.457,0.801,0.692,-3.509,12.152,12.029,-3.413,12.963,12.823,3.084,3.425,3.666,0.978,0.971,0.0,15.385
1089-134691-0005_908-157963-0011,Spk2,2.061,2.881,2.233,0.551,0.784,0.638,3.483,8.43,8.384,3.552,14.355,14.222,3.084,3.337,3.223,0.967,0.968,0.0,16.667
1089-134691-0006_4446-2275-0012,Spk2,1.411,2.961,2.569,0.372,0.812,0.775,-3.712,12.122,12.013,-3.519,13.252,13.128,2.518,2.862,3.103,0.988,0.97,0.0,0.0
1089-134691-0006_4446-2275-0026,Spk1,1.58,3.106,2.644,0.536,0.864,0.841,1.132,12.642,12.572,1.206,13.689,13.607,2.48,3.152,3.229,0.981,0.983,0.0,0.0
1089-134691-0014_2830-3980-0041,Spk1,1.685,2.145,1.818,0.51,0.785,0.697,-0.865,10.084,9.975,-0.735,10.501,10.396,3.332,3.277,3.645,0.976,0.975,18.182,18.182
1089-134691-0014_2830-3980-0041,Spk2,1.469,3.081,2.562,0.553,0.813,0.715,1.017,11.521,11.413,1.131,15.282,15.099,3.332,3.279,3.86,0.977,0.976,9.091,18.182
1089-134691-0014_7127-75947-0023,Spk2,1.758,3.198,3.258,0.596,0.908,0.897,0.094,11.6,11.49,0.282,12.835,12.703,3.476,3.161,3.15,0.979,0.979,0.0,0.0
1089-134691-0015_3575-170457-0015,Spk1,1.738,3.199,2.926,0.418,0.587,0.48,0.043,12.584,12.563,0.358,14.632,14.643,3.134,2.953,3.238,0.983,0.937,0.0,20.0
1089-134691-0015_3575-170457-0015,Spk2,1.745,3.195,3.027,0.65,0.887,0.841,0.203,14.053,13.988,0.339,16.942,16.843,3.134,2.99,3.177,0.969,0.975,22.222,11.111
1089-134691-0015_672-122797-0050,Spk1,1.904,3.652,3.395,0.431,0.586,0.523,5.312,16.642,16.59,5.335,18.925,18.938,3.524,3.057,3.52,0.975,0.979,0.0,20.0
1089-134691-0016_260-123286-0009,Spk2,1.97,2.862,2.215,0.664,0.885,0.831,6.303,11.132,11.058,6.37,13.008,12.908,2.704,3.336,3.244,0.982,0.981,0.0,0.0
1089-134691-0017_5142-36586-0004,Spk1,1.803,3.367,2.867,0.636,0.918,0.901,6.298,14.64,14.495,6.455,15.902,15.734,3.341,3.031,3.113,0.988,0.984,0.0,0.0
1089-134691-0017_5142-36586-0004,Spk2,1.311,2.733,2.485,0.422,0.912,0.873,-6.556,13.371,13.068,-6.099,14.428,14.086,3.341,2.948,3.014,0.981,0.984,0.0,0.0
1089-134691-0019_2830-3980-0011,Spk1,2.005,2.781,2.73,0.615,0.918,0.904,1.737,11.345,11.331,1.989,13.735,13.72,2.526,3.017,3.131,0.969,0.968,0.0,0.0
1089-134691-0022_2830-3979-0000,Spk2,1.899,2.984,3.0,0.594,0.807,0.8,5.825,13.396,13.376,5.88,14.494,14.473,3.277,3.201,3.107,0.991,0.987,0.0,0.0
1089-134691-0023_1580-141083-0000,Spk1,2.013,3.515,3.056,0.655,0.893,0.851,7.284,12.677,12.505,7.352,13.68,13.482,2.346,3.208,3.202,0.988,0.992,0.0,0.0
1089-134691-0023_8224-274381-0011,Spk1,1.878,3.291,2.816,0.554,0.897,0.865,-2.718,13.537,13.329,-2.393,14.357,14.125,2.958,2.966,3.006,0.989,0.99,0.0,4.545
1089-134691-0025_4970-29095-0012,Spk1,1.827,3.301,2.169,0.628,0.858,0.792,0.5,16.064,15.581,0.562,16.883,16.35,3.286,3.153,3.847,0.988,0.983,0.0,14.286
1089-134691-0025_5105-28233-0004,Spk2,1.377,2.891,2.0,0.295,0.799,0.751,-6.909,7.789,7.654,-6.557,8.83,8.708,2.85,3.172,3.534,0.972,0.94,0.0,7.692
1188-133604-0004_672-122797-0017,Spk1,1.575,1.678,1.744,0.443,0.626,0.606,2.227,5.64,5.628,2.446,7.993,7.976,3.065,3.146,3.468,0.954,0.953,0.0,0.0
1188-133604-0005_1580-141083-0020,Spk1,1.501,3.089,2.594,0.44,0.753,0.712,0.44,12.048,11.943,0.536,15.581,15.422,2.761,3.17,3.424,0.975,0.976,5.263,15.789
1188-133604-0005_4446-2271-0003,Spk1,2.066,3.506,2.936,0.536,0.803,0.749,4.812,12.095,11.992,4.951,16.169,15.956,2.963,3.382,3.125,0.987,0.979,18.75,18.75
1188-133604-0010_61-70970-0014,Spk1,1.386,2.358,2.296,0.31,0.577,0.58,-2.156,12.137,12.171,-1.671,15.281,15.401,2.651,3.179,3.589,0.958,0.972,0.0,14.286
1188-133604-0012_5105-28241-0016,Spk1,1.585,2.812,2.32,0.444,0.729,0.696,0.786,12.869,12.722,0.828,15.162,15.058,3.026,3.075,3.223,0.974,0.972,0.0,10.0
1188-133604-0013_2830-3980-0004,Spk2,1.854,3.119,2.291,0.567,0.926,0.847,3.736,11.275,11.162,3.806,14.053,13.818,3.005,3.153,3.076,0.974,0.967,0.0,0.0
1188-133604-0017_6930-81414-0007,Spk2,1.286,2.193,1.984,0.303,0.761,0.739,-7.925,8.867,8.652,-7.527,11.219,10.994,3.289,3.133,3.723,0.97,0.94,16.667,16.667
1188-133604-0019_7127-75947-0006,Spk1,2.391,3.268,2.628,0.712,0.827,0.736,3.196,13.593,13.479,3.269,16.015,15.865,3.787,2.956,3.238,0.99,0.976,0.0,0.0
1188-133604-0020_1320-122617-0025,Spk2,1.902,3.045,2.668,0.624,0.882,0.832,-1.43,10.494,10.451,-1.272,14.034,13.955,3.26,3.208,3.17,0.981,0.981,4.167,0.0
1188-133604-0025_121-121726-0010,Spk1,1.564,3.177,2.814,0.573,0.805,0.77,0.829,12.103,12.018,0.878,15.105,14.968,3.72,3.187,3.437,0.98,0.986,8.696,13.043
1188-133604-0025_4992-23283-0016,Spk1,1.632,2.166,2.032,0.53,0.848,0.807,0.544,6.231,6.15,1.051,8.233,8.144,3.243,2.992,3.395,0.978,0.967,6.667,13.333
1188-133604-0025_6829-68769-0005,Spk2,1.493,3.068,2.768,0.49,0.91,0.823,-3.88,13.455,13.252,-3.683,14.325,14.111,3.028,2.914,3.046,0.974,0.976,5.556,5.556
1188-133604-0027_4446-2275-0032,Spk1,2.202,3.317,3.592,0.626,0.802,0.814,4.792,12.081,12.061,4.875,16.585,16.534,2.89,3.316,3.63,0.979,0.962,14.286,14.286
1188-133604-0029_1284-1180-0013,Spk1,1.628,3.215,3.274,0.479,0.728,0.717,2.31,12.477,12.403,2.394,16.398,16.253,3.29,3.442,3.184,0.983,0.98,0.0,0.0
1188-133604-0029_4077-13751-0006,Spk1,1.662,2.696,3.078,0.428,0.656,0.699,1.391,12.386,12.443,1.525,15.257,15.36,2.887,3.169,3.236,0.978,0.983,0.0,0.0
1188-133604-0033_7127-75947-0027,Spk1,1.341,2.791,2.534,0.437,0.776,0.743,0.723,13.314,13.254,0.783,16.46,16.381,2.63,3.142,3.243,0.99,0.99,0.0,0.0
1188-133604-0036_2961-960-0007,Spk1,1.422,3.092,2.589,0.519,0.86,0.773,-0.752,12.125,11.982,-0.61,15.445,15.202,2.147,3.384,3.75,0.988,0.98,0.0,12.5
1188-133604-0036_4507-16021-0015,Spk2,1.409,2.902,2.862,0.465,0.836,0.826,-6.924,7.584,7.581,-6.552,16.105,16.121,2.632,2.976,3.59,0.973,0.951,16.667,16.667
1188-133604-0038_61-70970-0012,Spk2,2.018,3.32,2.767,0.76,0.951,0.917,4.761,13.816,13.54,4.874,16.362,16.04,3.047,3.158,3.067,0.987,0.977,0.0,0.0
1188-133604-0040_2094-142345-0057,Spk2,1.786,3.318,2.792,0.703,0.925,0.881,2.641,10.911,10.763,2.797,17.536,17.24,2.931,2.971,3.078,0.979,0.967,16.667,16.667
1188-133604-0040_4970-29093-0002,Spk2,1.575,3.579,3.051,0.465,0.932,0.876,-1.112,12.43,12.198,-0.597,14.236,13.896,2.439,3.045,3.14,0.986,0.985,0.0,0.0
1188-133604-0041_61-70968-0003,Spk1,1.66,2.87,2.795,0.533,0.864,0.834,2.911,11.607,11.596,2.999,14.699,14.68,2.85,3.124,3.162,0.977,0.984,0.0,0.0
1188-133604-0041_61-70968-0003,Spk2,1.707,2.945,2.232,0.465,0.836,0.744,-2.765,5.227,5.185,-2.577,6.858,6.821,2.85,3.149,3.735,0.985,0.976,0.0,6.667
121-121726-0001_3729-6852-0018,Spk1,1.628,3.37,3.233,0.485,0.904,0.883,-0.474,12.225,12.108,-0.408,13.513,13.359,3.348,3.15,3.599,0.982,0.984,12.5,12.5
121-121726-0001_3729-6852-0018,Spk2,1.833,3.151,2.388,0.608,0.795,0.697,0.35,7.713,7.654,0.502,12.541,12.387,3.348,3.058,3.535,0.978,0.981,0.0,0.0
121-121726-0002_260-123286-0011,Spk2,1.554,3.155,2.62,0.559,0.894,0.795,0.122,13.536,13.343,0.209,15.664,15.404,3.595,3.613,3.965,0.963,0.942,0.0,0.0
121-121726-0003_1089-134691-0014,Spk1,1.79,3.382,3.452,0.67,0.936,0.933,2.839,12.64,12.593,2.936,14.162,14.105,3.329,3.162,3.528,0.986,0.982,12.5,12.5
121-121726-0003_672-122797-0059,Spk1,1.621,3.218,3.504,0.54,0.917,0.916,1.731,13.472,13.399,1.824,15.218,15.154,3.42,3.266,3.342,0.975,0.979,20.0,20.0
121-121726-0004_6930-81414-0003,Spk2,1.624,3.509,2.488,0.528,0.909,0.809,-2.256,10.07,7.798,-1.921,13.552,10.23,3.464,3.32,3.504,0.962,0.961,0.0,0.0
121-121726-0005_8455-210777-0005,Spk1,1.553,3.351,3.472,0.195,0.909,0.91,-4.355,11.882,11.888,-3.312,14.257,14.27,3.17,3.149,3.25,0.919,0.93,0.0,0.0
