ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_61-70968-0047,Spk2,1.576,2.874,2.748,0.439,0.847,0.849,-1.497,10.895,10.86,-1.281,11.747,11.715,1.916,3.012,2.956,0.979,0.968,0.0,0.0
1089-134686-0004_6829-68771-0005,Spk1,1.498,2.385,2.204,0.354,0.718,0.718,-6.546,10.583,10.546,-6.264,11.158,11.119,2.32,2.874,3.017,0.961,0.966,18.182,36.364
1089-134686-0004_8463-294828-0016,Spk2,1.616,3.115,2.493,0.451,0.859,0.843,0.161,11.888,11.782,0.293,14.077,13.939,2.057,3.249,3.572,0.984,0.984,28.571,42.857
1089-134686-0005_7176-92135-0020,Spk1,1.529,2.593,2.409,0.354,0.763,0.719,-2.284,7.549,7.475,-2.188,7.881,7.816,2.227,3.231,3.408,0.971,0.965,0.0,27.778
1089-134686-0005_7176-92135-0020,Spk2,1.605,2.034,2.074,0.512,0.713,0.693,0.736,6.382,6.34,0.77,7.498,7.46,2.227,2.622,3.282,0.946,0.976,40.0,40.0
1089-134686-0006_1580-141083-0022,Spk2,1.277,3.089,2.803,0.327,0.746,0.744,-6.339,10.21,10.222,-5.619,13.232,13.267,1.909,2.839,2.933,0.944,0.947,10.0,30.0
1089-134686-0007_8455-210777-0052,Spk2,1.885,2.48,2.444,0.375,0.699,0.69,-4.325,8.451,8.329,-3.418,12.131,11.93,1.665,2.819,3.064,0.938,0.912,20.0,20.0
1089-134686-0008_672-122797-0007,Spk2,1.59,2.799,2.654,0.369,0.679,0.661,-3.614,9.404,9.362,-3.526,11.712,11.666,2.117,2.945,2.97,0.97,0.982,0.0,0.0
1089-134686-0010_4507-16021-0023,Spk2,1.368,2.721,2.529,0.309,0.782,0.794,-4.756,8.737,8.735,-4.612,13.857,13.866,1.606,2.918,3.467,0.941,0.918,85.714,114.286
1089-134686-0013_3570-5695-0000,Spk2,1.558,2.987,2.635,0.474,0.843,0.819,0.484,10.736,10.727,0.62,15.2,15.171,2.153,2.682,2.524,0.987,0.981,0.0,0.0
1089-134686-0013_7127-75946-0007,Spk2,1.68,2.419,1.789,0.349,0.578,0.565,-4.035,3.448,3.375,-3.84,7.005,6.894,2.143,2.551,2.814,0.954,0.948,0.0,9.091
1089-134686-0015_4970-29093-0003,Spk2,1.434,2.647,2.345,0.402,0.833,0.753,-6.947,13.47,13.28,-6.779,14.22,14.027,2.174,2.968,3.372,0.974,0.964,31.25,31.25
1089-134686-0015_5142-33396-0067,Spk2,1.21,2.402,2.052,0.396,0.719,0.657,-5.116,12.026,11.841,-4.699,12.621,12.429,2.328,3.061,3.475,0.985,0.98,13.636,36.364
1089-134686-0016_672-122797-0004,Spk1,1.886,2.242,1.923,0.542,0.834,0.818,0.34,10.199,10.174,0.508,10.896,10.869,2.215,2.418,2.55,0.979,0.965,0.0,0.0
1089-134686-0019_5142-33396-0021,Spk2,1.133,2.426,2.288,0.304,0.788,0.775,-7.814,11.502,11.446,-7.466,12.439,12.388,1.579,3.114,3.286,0.983,0.976,28.571,28.571
1089-134686-0021_4992-41797-0018,Spk1,1.437,2.516,2.21,0.34,0.726,0.704,-3.833,11.299,11.201,-3.742,11.955,11.863,2.011,3.087,3.471,0.97,0.967,35.294,29.412
1089-134686-0022_1580-141083-0044,Spk1,1.332,2.336,1.919,0.284,0.688,0.674,-3.118,11.144,11.079,-2.989,11.711,11.638,1.641,3.253,3.386,0.924,0.929,16.667,38.889
1089-134686-0024_5683-32865-0016,Spk1,1.48,2.29,2.059,0.401,0.752,0.705,1.546,10.429,10.401,1.71,11.298,11.265,1.857,3.106,2.967,0.951,0.957,0.0,0.0
1089-134686-0024_5683-32865-0016,Spk2,1.174,2.051,1.926,0.376,0.682,0.671,-5.586,5.627,5.606,-5.019,7.243,7.218,1.857,2.868,3.015,0.952,0.961,33.333,33.333
1089-134686-0024_7176-92135-0042,Spk1,1.442,1.825,1.669,0.255,0.599,0.59,-7.564,1.808,1.804,-7.286,2.296,2.295,1.91,3.243,3.483,0.957,0.95,52.632,36.842
1089-134686-0025_7127-75947-0035,Spk2,1.332,2.557,1.94,0.408,0.821,0.799,-5.692,10.432,10.353,-5.245,11.544,11.445,2.486,2.987,3.232,0.983,0.982,14.286,21.429
1089-134686-0028_8224-274384-0005,Spk2,1.604,2.45,2.327,0.512,0.79,0.73,2.04,8.551,8.486,2.121,10.81,10.75,2.357,2.975,2.928,0.991,0.983,6.25,12.5
1089-134686-0029_121-127105-0007,Spk2,1.711,3.077,2.906,0.595,0.861,0.843,1.01,9.725,9.697,1.105,11.019,10.984,2.092,2.968,2.73,0.983,0.973,28.571,28.571
1089-134686-0032_4507-16021-0049,Spk2,1.439,2.55,2.415,0.472,0.767,0.737,2.65,10.359,10.23,2.732,15.337,15.043,2.115,2.441,2.927,0.937,0.884,25.0,8.333
1089-134686-0032_6829-68771-0030,Spk1,1.74,2.941,2.662,0.546,0.83,0.798,2.448,13.173,13.061,2.527,13.961,13.835,2.204,2.861,2.949,0.967,0.953,0.0,0.0
1089-134686-0034_5639-40744-0005,Spk1,1.54,2.319,2.046,0.247,0.704,0.691,-6.828,10.191,10.134,-6.613,10.936,10.884,2.028,3.3,3.236,0.892,0.838,7.692,30.769
1089-134686-0034_8455-210777-0067,Spk1,1.682,2.876,2.255,0.427,0.828,0.799,-2.596,12.576,12.385,-2.494,13.546,13.342,1.817,3.379,3.703,0.978,0.961,22.222,22.222
1089-134686-0034_8455-210777-0067,Spk2,1.366,1.946,1.699,0.429,0.702,0.56,-0.104,8.77,8.526,0.082,12.766,12.356,1.817,2.943,3.188,0.927,0.948,18.182,45.455
1089-134686-0035_5683-32866-0010,Spk1,1.284,2.495,2.157,0.206,0.68,0.659,-8.473,10.609,10.513,-7.529,11.895,11.827,1.949,3.075,3.357,0.949,0.933,44.444,55.556
1089-134686-0035_5683-32866-0010,Spk2,1.411,1.45,1.404,0.587,0.708,0.678,4.073,0.041,-0.021,4.193,4.009,3.958,1.949,3.125,3.561,0.966,0.968,37.5,37.5
1089-134686-0036_6930-75918-0008,Spk1,1.597,2.55,1.881,0.236,0.671,0.58,-1.582,12.468,12.367,-1.348,13.976,13.85,2.304,3.093,2.952,0.941,0.928,16.667,33.333
1089-134686-0037_2094-142345-0001,Spk2,1.33,2.279,2.23,0.304,0.758,0.739,-2.426,1.899,1.877,-2.274,8.449,8.416,1.963,2.945,3.388,0.972,0.98,14.286,0.0
1089-134691-0002_4507-16021-0036,Spk2,1.704,2.114,2.074,0.424,0.703,0.723,-2.873,9.061,9.04,-2.623,13.082,13.033,1.982,2.936,2.832,0.873,0.844,44.444,22.222
1089-134691-0006_4446-2275-0026,Spk2,1.456,3.223,2.806,0.365,0.87,0.848,-2.751,11.339,11.265,-2.519,12.397,12.304,2.316,2.553,2.517,0.985,0.977,0.0,0.0
1089-134691-0014_237-134500-0012,Spk2,1.527,2.863,2.878,0.549,0.842,0.839,3.171,12.276,12.239,3.249,13.575,13.531,2.05,2.875,2.87,0.983,0.984,6.667,0.0
1089-134691-0014_2830-3980-0041,Spk2,1.37,2.601,2.296,0.387,0.702,0.664,-1.157,9.636,9.587,-1.005,12.449,12.374,2.529,3.282,4.041,0.979,0.98,9.091,27.273
1089-134691-0014_7127-75947-0023,Spk1,1.454,2.637,2.208,0.283,0.752,0.712,-2.667,11.808,11.762,-2.454,12.936,12.892,2.352,3.401,3.915,0.955,0.957,9.091,27.273
1089-134691-0014_7127-75947-0023,Spk2,1.532,1.748,1.825,0.474,0.78,0.777,-2.642,4.45,4.398,-2.447,5.819,5.768,2.352,3.441,3.462,0.979,0.976,30.0,20.0
1089-134691-0015_5683-32879-0011,Spk2,1.32,2.484,1.955,0.426,0.778,0.713,-4.599,9.163,9.08,-4.499,11.472,11.349,1.766,2.904,2.855,0.958,0.961,22.222,22.222
1089-134691-0015_672-122797-0050,Spk2,1.509,2.446,1.838,0.298,0.606,0.567,-6.794,7.488,7.233,-6.535,10.345,10.055,2.112,3.252,3.31,0.949,0.931,30.0,40.0
1089-134691-0016_260-123286-0009,Spk1,1.349,2.218,1.905,0.192,0.658,0.614,-8.222,9.544,9.428,-7.995,10.387,10.277,1.891,3.017,3.256,0.905,0.905,18.75,37.5
1089-134691-0017_5142-36586-0004,Spk1,1.69,3.027,2.868,0.529,0.869,0.855,4.501,13.577,13.468,4.658,14.678,14.554,2.564,3.044,2.928,0.982,0.98,0.0,0.0
1089-134691-0018_4970-29095-0024,Spk2,1.611,3.028,2.603,0.54,0.84,0.812,2.743,11.943,11.894,2.857,12.944,12.884,1.684,3.135,2.688,0.968,0.965,0.0,22.222
1089-134691-0019_672-122797-0023,Spk2,1.286,2.579,2.006,0.279,0.734,0.701,-7.473,8.6,8.424,-4.929,10.655,10.459,1.878,3.054,3.371,0.935,0.926,0.0,25.0
1089-134691-0020_908-31957-0004,Spk1,1.571,3.666,3.213,0.371,0.854,0.811,-3.162,14.492,14.435,-2.911,16.684,16.575,2.328,2.864,2.976,0.946,0.926,0.0,0.0
1089-134691-0020_908-31957-0004,Spk2,1.81,2.703,2.126,0.619,0.848,0.709,1.182,9.624,9.511,1.352,13.161,12.978,2.328,2.932,3.247,0.971,0.951,0.0,50.0
1089-134691-0022_2830-3979-0000,Spk2,1.628,2.697,2.584,0.463,0.74,0.748,1.528,11.075,11.067,1.617,12.262,12.255,1.854,3.047,2.977,0.99,0.985,4.762,4.762
1089-134691-0025_4970-29095-0012,Spk2,1.352,2.502,2.357,0.374,0.698,0.661,-3.427,13.91,13.993,-3.187,15.432,15.561,1.887,3.003,3.333,0.922,0.921,28.571,42.857
1089-134691-0025_5105-28233-0004,Spk2,1.345,2.215,1.681,0.199,0.649,0.601,-7.601,4.353,4.08,-7.195,5.994,5.737,2.344,2.906,3.775,0.971,0.944,7.692,46.154
1188-133604-0003_672-122797-0056,Spk2,1.493,3.02,2.248,0.384,0.728,0.708,-4.203,9.209,9.181,-3.978,11.782,11.745,2.282,3.204,3.216,0.968,0.95,40.0,50.0
1188-133604-0004_672-122797-0017,Spk2,1.23,2.291,1.949,0.41,0.621,0.613,-3.571,4.353,4.27,-3.401,6.842,6.779,1.704,2.553,3.226,0.946,0.952,0.0,22.222
1188-133604-0005_1580-141083-0020,Spk2,1.421,3.232,2.923,0.48,0.878,0.86,-1.1,11.406,11.343,-0.901,12.132,12.064,1.918,2.54,2.671,0.971,0.968,0.0,11.765
1188-133604-0005_6829-68769-0036,Spk1,1.418,2.074,1.716,0.117,0.457,0.412,-8.496,6.953,6.851,-8.0,8.827,8.732,1.663,3.167,3.352,0.922,0.911,57.895,52.632
1188-133604-0005_6829-68769-0036,Spk2,1.763,3.087,2.798,0.615,0.891,0.876,3.102,12.731,12.72,3.193,13.594,13.585,1.663,2.556,2.493,0.945,0.945,0.0,0.0
1188-133604-0013_2830-3980-0004,Spk1,1.459,2.008,1.918,0.283,0.554,0.554,-4.925,6.162,6.149,-4.669,7.173,7.169,1.742,3.01,3.541,0.955,0.961,12.5,37.5
1188-133604-0014_4992-23283-0016,Spk2,1.32,2.325,2.382,0.329,0.799,0.801,-4.271,7.621,7.636,-3.467,11.574,11.61,2.488,3.341,3.391,0.961,0.964,10.0,30.0
1188-133604-0019_8224-274384-0008,Spk2,1.39,2.202,1.985,0.395,0.781,0.704,-5.047,8.295,8.185,-4.951,10.397,10.283,2.568,3.157,3.759,0.979,0.972,16.667,30.0
1188-133604-0020_1320-122617-0025,Spk2,1.497,2.338,2.0,0.436,0.759,0.709,-3.049,7.493,7.453,-2.87,11.594,11.548,2.395,3.212,3.284,0.968,0.982,12.5,25.0
1188-133604-0022_1221-135767-0019,Spk2,1.418,2.468,1.925,0.286,0.591,0.569,-7.536,10.078,9.951,-7.23,11.598,11.483,2.03,2.878,3.245,0.945,0.941,22.222,22.222
1188-133604-0022_1320-122617-0034,Spk1,1.562,2.263,2.115,0.199,0.52,0.46,-8.006,8.064,7.994,-7.892,9.477,9.402,2.107,3.114,3.696,0.971,0.968,6.897,20.69
1188-133604-0029_4077-13751-0006,Spk2,1.448,2.518,1.913,0.281,0.674,0.659,-2.853,3.15,3.079,-2.699,5.881,5.787,1.869,2.872,3.738,0.972,0.916,22.222,11.111
1188-133604-0031_5142-33396-0054,Spk1,1.465,2.145,2.044,0.211,0.504,0.534,-3.011,7.939,7.93,-2.73,10.752,10.757,1.979,3.146,3.623,0.911,0.937,40.0,30.0
1188-133604-0031_5142-33396-0054,Spk2,1.285,2.247,1.981,0.326,0.846,0.8,-3.175,11.295,11.2,-2.987,12.309,12.219,1.979,3.17,3.426,0.98,0.982,20.0,26.667
1188-133604-0032_8224-274384-0000,Spk1,1.632,2.781,2.717,0.488,0.766,0.736,-1.508,11.615,11.475,-1.414,14.047,13.842,3.034,3.291,3.464,0.981,0.983,5.882,23.529
1188-133604-0033_7127-75947-0027,Spk2,1.762,2.959,2.783,0.494,0.869,0.818,-1.101,12.514,12.223,-1.026,13.551,13.194,2.372,3.112,3.019,0.982,0.984,27.778,27.778
1188-133604-0036_2961-960-0007,Spk1,1.376,2.202,1.777,0.305,0.67,0.601,-4.161,8.223,8.131,-3.99,10.466,10.363,1.597,3.245,3.696,0.95,0.931,43.75,62.5
1188-133604-0036_4507-16021-0015,Spk1,1.603,2.723,2.081,0.479,0.72,0.647,3.498,11.039,10.96,3.598,13.92,13.829,1.815,3.151,3.403,0.963,0.962,50.0,33.333
1188-133604-0036_4507-16021-0015,Spk2,1.335,2.311,2.186,0.329,0.742,0.746,-7.736,7.195,7.196,-7.254,13.392,13.401,1.815,2.917,3.379,0.896,0.909,66.667,16.667
1188-133604-0038_1995-1837-0012,Spk1,1.708,3.233,2.95,0.544,0.855,0.833,2.864,11.349,11.327,2.911,14.357,14.33,2.31,3.003,2.926,0.977,0.973,0.0,0.0
1188-133604-0038_5142-33396-0043,Spk2,1.43,3.246,3.096,0.448,0.899,0.864,-2.406,13.869,13.643,-2.278,14.642,14.429,1.976,2.796,2.563,0.972,0.973,10.0,10.0
