ID,Target,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1089-134686-0000_121-127105-0031,Spk1,1.867,2.971,2.491,0.476,0.838,0.781,3.224,9.936,9.838,3.267,10.569,10.474,2.426,3.286,3.481,0.987,0.982,7.143,3.571
1089-134686-0000_121-127105-0031,Spk2,1.326,2.353,2.264,0.411,0.743,0.715,-5.724,8.178,8.105,-5.644,9.516,9.436,2.426,3.085,3.241,0.976,0.973,10.526,10.526
1089-134686-0000_260-123440-0016,Spk1,1.982,2.887,2.695,0.588,0.885,0.864,5.42,11.351,11.299,5.493,12.447,12.389,2.202,3.444,3.393,0.993,0.992,0.0,0.0
1089-134686-0000_260-123440-0016,Spk2,1.275,2.426,2.28,0.374,0.817,0.801,-7.236,9.845,9.819,-6.973,12.072,12.046,2.202,3.212,3.731,0.947,0.936,6.25,6.25
1089-134686-0000_61-70968-0047,Spk1,1.582,2.368,2.3,0.38,0.858,0.842,0.029,11.242,11.23,0.221,12.428,12.418,1.916,3.128,3.427,0.983,0.974,0.0,0.0
1089-134686-0000_61-70968-0047,Spk2,1.576,2.874,2.748,0.439,0.847,0.849,-1.497,10.895,10.86,-1.281,11.747,11.715,1.916,3.012,2.956,0.979,0.968,0.0,0.0
1089-134686-0002_7729-102255-0037,Spk1,1.617,2.904,2.546,0.462,0.844,0.82,-1.531,9.718,9.664,-1.445,10.408,10.352,2.598,3.024,3.209,0.974,0.967,0.0,11.111
1089-134686-0002_7729-102255-0037,Spk2,1.538,2.357,2.412,0.474,0.778,0.763,-0.043,6.313,6.306,0.037,10.874,10.856,2.598,3.215,3.325,0.972,0.975,11.111,16.667
1089-134686-0004_1284-1180-0027,Spk1,1.511,3.415,3.224,0.445,0.904,0.869,-0.389,14.246,14.224,-0.28,15.18,15.155,1.94,3.1,3.053,0.951,0.956,0.0,0.0
1089-134686-0004_1284-1180-0027,Spk2,1.288,2.67,2.604,0.38,0.861,0.837,-1.274,11.42,11.392,-1.019,14.543,14.508,1.94,3.135,3.543,0.973,0.978,0.0,0.0
1089-134686-0004_6829-68771-0005,Spk1,1.498,2.385,2.204,0.354,0.718,0.718,-6.546,10.583,10.546,-6.264,11.158,11.119,2.32,2.874,3.017,0.961,0.966,18.182,36.364
1089-134686-0004_6829-68771-0005,Spk2,1.559,2.662,2.173,0.538,0.834,0.763,1.851,10.746,10.679,1.937,11.875,11.81,2.32,2.744,3.305,0.947,0.942,7.692,7.692
1089-134686-0004_8463-294828-0016,Spk1,1.413,3.104,2.854,0.426,0.859,0.875,-1.97,15.298,15.292,-1.873,16.349,16.345,2.057,2.968,3.301,0.943,0.962,0.0,0.0
1089-134686-0004_8463-294828-0016,Spk2,1.616,3.115,2.493,0.451,0.859,0.843,0.161,11.888,11.782,0.293,14.077,13.939,2.057,3.249,3.572,0.984,0.984,28.571,42.857
1089-134686-0005_7176-92135-0020,Spk1,1.529,2.593,2.409,0.354,0.763,0.719,-2.284,7.549,7.475,-2.188,7.881,7.816,2.227,3.231,3.408,0.971,0.965,0.0,27.778
1089-134686-0005_7176-92135-0020,Spk2,1.605,2.034,2.074,0.512,0.713,0.693,0.736,6.382,6.34,0.77,7.498,7.46,2.227,2.622,3.282,0.946,0.976,40.0,40.0
1089-134686-0006_1580-141083-0022,Spk1,1.423,2.903,2.523,0.337,0.869,0.851,-0.406,13.019,12.984,-0.237,14.375,14.333,1.909,3.162,3.339,0.932,0.944,0.0,0.0
1089-134686-0006_1580-141083-0022,Spk2,1.277,3.089,2.803,0.327,0.746,0.744,-6.339,10.21,10.222,-5.619,13.232,13.267,1.909,2.839,2.933,0.944,0.947,10.0,30.0
1089-134686-0006_4446-2271-0018,Spk1,1.728,3.027,2.755,0.544,0.886,0.858,0.994,10.478,10.424,1.038,11.537,11.469,2.197,3.349,3.361,0.968,0.969,0.0,0.0
1089-134686-0006_4446-2271-0018,Spk2,1.471,2.348,2.178,0.505,0.776,0.767,-1.328,8.896,8.894,-1.269,13.721,13.716,2.197,2.915,3.118,0.945,0.955,0.0,0.0
1089-134686-0007_1995-1836-0000,Spk1,1.531,2.512,2.428,0.264,0.763,0.728,-1.444,11.326,11.314,-1.31,12.334,12.319,1.765,3.008,3.28,0.975,0.97,0.0,0.0
1089-134686-0007_1995-1836-0000,Spk2,1.243,2.492,2.225,0.452,0.883,0.874,-0.495,9.85,9.815,-0.282,11.277,11.236,1.765,2.882,3.11,0.94,0.942,10.0,10.0
1089-134686-0007_7021-85628-0018,Spk1,1.509,2.576,2.259,0.381,0.797,0.763,-1.45,9.614,9.575,-1.365,10.271,10.228,2.072,3.223,3.435,0.986,0.981,0.0,0.0
1089-134686-0007_7021-85628-0018,Spk2,1.393,2.027,2.212,0.454,0.815,0.821,0.35,5.86,5.859,0.403,8.842,8.843,2.072,3.195,3.244,0.943,0.956,9.091,9.091
1089-134686-0007_8455-210777-0052,Spk1,1.617,2.795,2.45,0.378,0.782,0.741,1.471,12.306,12.292,1.614,13.459,13.445,1.665,3.156,3.564,0.969,0.966,0.0,0.0
1089-134686-0007_8455-210777-0052,Spk2,1.885,2.48,2.444,0.375,0.699,0.69,-4.325,8.451,8.329,-3.418,12.131,11.93,1.665,2.819,3.064,0.938,0.912,20.0,20.0
1089-134686-0008_672-122797-0007,Spk1,1.471,2.548,2.451,0.432,0.8,0.778,-0.557,9.873,9.836,-0.47,10.544,10.504,2.117,3.03,3.29,0.982,0.972,0.0,0.0
1089-134686-0008_672-122797-0007,Spk2,1.59,2.799,2.654,0.369,0.679,0.661,-3.614,9.404,9.362,-3.526,11.712,11.666,2.117,2.945,2.97,0.97,0.982,0.0,0.0
1089-134686-0008_8230-279154-0012,Spk1,1.72,3.292,2.567,0.553,0.883,0.81,-0.118,13.017,12.832,0.092,13.965,13.79,2.42,3.024,3.508,0.986,0.972,22.222,11.111
1089-134686-0008_8230-279154-0012,Spk2,1.574,2.776,2.396,0.397,0.809,0.764,-0.781,12.836,12.826,-0.491,15.067,15.062,2.42,3.343,3.817,0.966,0.962,14.286,14.286
1089-134686-0010_4507-16021-0023,Spk1,1.846,3.188,3.037,0.498,0.883,0.865,0.466,13.791,13.775,0.561,14.443,14.429,1.606,2.869,3.179,0.946,0.948,0.0,0.0
1089-134686-0010_4507-16021-0023,Spk2,1.368,2.721,2.529,0.309,0.782,0.794,-4.756,8.737,8.735,-4.612,13.857,13.866,1.606,2.918,3.467,0.941,0.918,85.714,114.286
1089-134686-0011_1320-122612-0004,Spk1,1.576,3.262,2.625,0.406,0.817,0.787,-5.817,12.972,12.882,-5.547,13.679,13.587,2.873,3.151,3.558,0.98,0.971,0.0,0.0
1089-134686-0011_1320-122612-0004,Spk2,1.553,2.934,2.349,0.607,0.903,0.815,4.518,12.079,11.969,4.575,14.698,14.526,2.873,3.217,3.437,0.988,0.986,0.0,0.0
1089-134686-0013_3570-5695-0000,Spk1,1.685,2.868,2.715,0.371,0.795,0.781,-2.201,11.912,11.892,-1.925,12.708,12.683,2.153,3.343,3.391,0.975,0.964,7.143,7.143
1089-134686-0013_3570-5695-0000,Spk2,1.558,2.987,2.635,0.474,0.843,0.819,0.484,10.736,10.727,0.62,15.2,15.171,2.153,2.682,2.524,0.987,0.981,0.0,0.0
1089-134686-0013_7127-75946-0007,Spk1,1.776,2.969,2.645,0.557,0.791,0.763,2.419,10.525,10.514,2.539,11.165,11.153,2.143,3.225,3.368,0.977,0.973,7.143,7.143
1089-134686-0013_7127-75946-0007,Spk2,1.68,2.419,1.789,0.349,0.578,0.565,-4.035,3.448,3.375,-3.84,7.005,6.894,2.143,2.551,2.814,0.954,0.948,0.0,9.091
1089-134686-0015_4970-29093-0003,Spk1,1.741,3.067,2.856,0.596,0.817,0.798,5.304,12.393,12.348,5.337,13.255,13.202,2.174,3.38,3.235,0.975,0.978,7.143,7.143
1089-134686-0015_4970-29093-0003,Spk2,1.434,2.647,2.345,0.402,0.833,0.753,-6.947,13.47,13.28,-6.779,14.22,14.027,2.174,2.968,3.372,0.974,0.964,31.25,31.25
1089-134686-0015_5142-33396-0067,Spk1,1.85,3.01,2.659,0.496,0.808,0.774,1.947,12.447,12.4,2.015,13.144,13.1,2.328,3.4,3.297,0.965,0.966,0.0,7.143
1089-134686-0015_5142-33396-0067,Spk2,1.21,2.402,2.052,0.396,0.719,0.657,-5.116,12.026,11.841,-4.699,12.621,12.429,2.328,3.061,3.475,0.985,0.98,13.636,36.364
1089-134686-0016_672-122797-0004,Spk1,1.886,2.242,1.923,0.542,0.834,0.818,0.34,10.199,10.174,0.508,10.896,10.869,2.215,2.418,2.55,0.979,0.965,0.0,0.0
1089-134686-0016_672-122797-0004,Spk2,1.378,3.088,2.67,0.281,0.636,0.635,-7.432,10.3,10.277,-7.167,12.746,12.72,2.215,3.08,3.456,0.94,0.933,14.286,14.286
1089-134686-0017_1580-141084-0045,Spk1,1.487,3.099,2.925,0.415,0.853,0.847,-0.007,12.879,12.837,0.168,14.207,14.15,2.276,3.167,3.15,0.947,0.956,0.0,12.5
1089-134686-0017_1580-141084-0045,Spk2,1.287,2.998,2.481,0.358,0.855,0.837,-4.008,11.617,11.482,-3.653,13.186,13.029,2.276,3.256,3.513,0.981,0.983,0.0,0.0
1089-134686-0019_5142-33396-0021,Spk1,1.949,3.29,3.03,0.464,0.797,0.781,4.291,13.773,13.677,4.369,14.949,14.843,1.579,3.43,3.253,0.979,0.976,0.0,0.0
1089-134686-0019_5142-33396-0021,Spk2,1.133,2.426,2.288,0.304,0.788,0.775,-7.814,11.502,11.446,-7.466,12.439,12.388,1.579,3.114,3.286,0.983,0.976,28.571,28.571
1089-134686-0021_4992-41797-0018,Spk1,1.437,2.516,2.21,0.34,0.726,0.704,-3.833,11.299,11.201,-3.742,11.955,11.863,2.011,3.087,3.471,0.97,0.967,35.294,29.412
1089-134686-0021_4992-41797-0018,Spk2,1.253,2.634,2.479,0.378,0.809,0.794,-2.749,9.894,9.884,-2.639,11.653,11.642,2.011,2.893,3.222,0.972,0.974,35.714,14.286
1089-134686-0022_1580-141083-0044,Spk1,1.332,2.336,1.919,0.284,0.688,0.674,-3.118,11.144,11.079,-2.989,11.711,11.638,1.641,3.253,3.386,0.924,0.929,16.667,38.889
1089-134686-0022_1580-141083-0044,Spk2,1.472,2.762,2.369,0.412,0.787,0.711,-2.603,9.625,9.449,-2.424,10.977,10.807,1.641,2.868,3.559,0.968,0.963,0.0,0.0
1089-134686-0022_8455-210777-0023,Spk1,1.555,2.769,2.025,0.443,0.803,0.756,-0.601,12.971,12.565,0.129,13.61,13.181,2.115,3.149,3.53,0.966,0.97,6.25,18.75
1089-134686-0022_8455-210777-0023,Spk2,1.575,2.898,2.605,0.502,0.87,0.857,-1.883,10.161,10.145,-1.779,13.2,13.18,2.115,2.997,3.539,0.977,0.978,7.143,7.143
1089-134686-0023_6829-68771-0020,Spk1,1.514,2.254,1.733,0.393,0.776,0.73,-0.768,10.549,10.397,-0.648,11.103,10.956,1.7,3.359,3.712,0.965,0.951,7.692,15.385
1089-134686-0023_6829-68771-0020,Spk2,1.342,2.495,2.208,0.422,0.842,0.839,-3.876,7.181,7.151,-3.666,8.537,8.509,1.7,3.488,3.827,0.925,0.955,0.0,7.143
1089-134686-0024_1995-1836-0013,Spk1,1.562,2.708,2.307,0.302,0.756,0.732,-3.809,10.884,10.831,-3.572,11.406,11.351,1.889,3.469,3.463,0.974,0.969,0.0,12.5
1089-134686-0024_1995-1836-0013,Spk2,1.303,3.077,3.095,0.452,0.85,0.849,0.78,9.819,9.822,0.884,14.901,14.912,1.889,3.135,3.573,0.955,0.953,21.429,14.286
1089-134686-0024_5683-32865-0016,Spk1,1.48,2.29,2.059,0.401,0.752,0.705,1.546,10.429,10.401,1.71,11.298,11.265,1.857,3.106,2.967,0.951,0.957,0.0,0.0
1089-134686-0024_5683-32865-0016,Spk2,1.174,2.051,1.926,0.376,0.682,0.671,-5.586,5.627,5.606,-5.019,7.243,7.218,1.857,2.868,3.015,0.952,0.961,33.333,33.333
1089-134686-0024_7176-92135-0042,Spk1,1.442,1.825,1.669,0.255,0.599,0.59,-7.564,1.808,1.804,-7.286,2.296,2.295,1.91,3.243,3.483,0.957,0.95,52.632,36.842
1089-134686-0024_7176-92135-0042,Spk2,1.584,2.645,2.443,0.562,0.819,0.791,5.092,11.683,11.661,5.134,13.838,13.797,1.91,3.026,3.692,0.98,0.968,4.545,4.545
1089-134686-0025_7127-75947-0035,Spk1,1.358,2.23,2.074,0.397,0.797,0.798,2.279,12.895,12.877,2.397,13.822,13.81,2.486,3.272,3.266,0.978,0.94,15.385,15.385
1089-134686-0025_7127-75947-0035,Spk2,1.332,2.557,1.94,0.408,0.821,0.799,-5.692,10.432,10.353,-5.245,11.544,11.445,2.486,2.987,3.232,0.983,0.982,14.286,21.429
1089-134686-0026_8224-274384-0010,Spk1,1.686,3.168,2.775,0.443,0.85,0.806,-3.684,10.846,10.781,-3.114,11.538,11.475,2.278,3.074,3.143,0.984,0.983,0.0,0.0
1089-134686-0026_8224-274384-0010,Spk2,1.518,2.633,2.642,0.551,0.797,0.764,2.041,9.986,9.932,2.145,13.194,13.114,2.278,3.225,3.541,0.988,0.964,0.0,12.5
1089-134686-0028_6829-68771-0025,Spk1,1.584,3.278,2.767,0.472,0.895,0.849,1.242,14.952,14.771,1.281,15.746,15.553,2.125,3.239,3.455,0.986,0.98,0.0,0.0
1089-134686-0028_6829-68771-0025,Spk2,1.407,2.593,2.418,0.411,0.874,0.837,-2.988,11.216,11.041,-2.893,12.195,12.079,2.125,3.268,3.72,0.97,0.955,13.636,13.636
1089-134686-0028_8224-274384-0005,Spk1,1.544,2.965,2.884,0.427,0.849,0.79,-3.115,12.605,12.485,-2.929,13.194,13.08,2.357,3.082,3.52,0.983,0.98,11.111,5.556
1089-134686-0028_8224-274384-0005,Spk2,1.604,2.45,2.327,0.512,0.79,0.73,2.04,8.551,8.486,2.121,10.81,10.75,2.357,2.975,2.928,0.991,0.983,6.25,12.5
1089-134686-0029_121-127105-0007,Spk1,1.26,2.686,2.402,0.286,0.761,0.757,-5.673,11.248,11.225,-5.462,12.085,12.064,2.092,3.005,3.263,0.966,0.965,18.182,18.182
1089-134686-0029_121-127105-0007,Spk2,1.711,3.077,2.906,0.595,0.861,0.843,1.01,9.725,9.697,1.105,11.019,10.984,2.092,2.968,2.73,0.983,0.973,28.571,28.571
1089-134686-0031_1320-122612-0008,Spk1,1.987,2.802,2.385,0.551,0.848,0.808,2.575,11.706,11.593,2.647,12.556,12.446,2.007,3.35,3.526,0.988,0.98,0.0,0.0
1089-134686-0031_1320-122612-0008,Spk2,1.427,2.61,2.169,0.412,0.813,0.734,-4.266,10.731,10.674,-4.084,12.914,12.84,2.007,3.287,3.658,0.978,0.967,9.524,4.762
1089-134686-0031_61-70968-0026,Spk1,1.421,2.851,2.249,0.292,0.768,0.744,-1.815,12.845,12.73,-1.607,13.672,13.571,1.866,3.269,3.529,0.958,0.939,10.0,10.0
1089-134686-0031_61-70968-0026,Spk2,1.666,2.758,2.357,0.478,0.842,0.827,0.225,12.313,12.272,0.33,13.751,13.719,1.866,3.169,3.464,0.956,0.96,9.524,0.0
1089-134686-0032_4507-16021-0049,Spk1,1.479,2.988,2.719,0.404,0.83,0.813,-3.838,14.019,13.946,-3.594,14.729,14.648,2.115,2.928,3.12,0.946,0.946,0.0,0.0
1089-134686-0032_4507-16021-0049,Spk2,1.439,2.55,2.415,0.472,0.767,0.737,2.65,10.359,10.23,2.732,15.337,15.043,2.115,2.441,2.927,0.937,0.884,25.0,8.333
1089-134686-0032_6829-68771-0030,Spk1,1.74,2.941,2.662,0.546,0.83,0.798,2.448,13.173,13.061,2.527,13.961,13.835,2.204,2.861,2.949,0.967,0.953,0.0,0.0
1089-134686-0032_6829-68771-0030,Spk2,1.321,2.274,2.062,0.402,0.865,0.81,-4.366,9.729,9.584,-4.144,10.449,10.31,2.204,2.865,3.033,0.962,0.965,8.333,8.333
1089-134686-0033_1320-122612-0001,Spk1,1.754,2.949,2.45,0.31,0.733,0.686,-4.279,12.997,12.817,-3.825,14.274,14.074,2.634,3.328,3.424,0.966,0.936,0.0,0.0
