N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
1,2.118,3.182,2.542,0.6,0.89,0.817,4.989,10.549,10.402,5.036,11.233,11.084,2.506,3.256,3.392,0.994,0.992,7.143,7.143
2,1.712,2.918,2.529,0.544,0.844,0.794,-0.075,9.92,9.816,-0.018,11.128,11.019,2.506,3.074,3.344,0.991,0.988,8.834,8.834
3,1.846,2.966,2.613,0.583,0.863,0.825,2.312,10.658,10.572,2.372,11.808,11.716,2.755,3.125,3.213,0.992,0.989,5.89,5.89
4,1.716,2.894,2.611,0.551,0.87,0.831,0.009,10.874,10.8,0.112,12.324,12.24,2.879,3.118,3.308,0.982,0.979,5.98,4.417
5,1.694,2.855,2.547,0.526,0.873,0.839,0.156,10.926,10.85,0.277,12.273,12.188,2.788,3.084,3.35,0.983,0.98,4.784,3.534
6,1.694,2.934,2.644,0.533,0.881,0.851,-0.012,11.307,11.234,0.127,12.674,12.593,2.727,3.051,3.264,0.984,0.98,3.986,2.945
7,1.694,2.957,2.657,0.534,0.881,0.852,-0.13,11.283,11.212,-0.0,12.551,12.472,2.815,3.059,3.248,0.983,0.979,3.417,4.111
8,1.69,2.9,2.64,0.535,0.871,0.843,-0.001,10.724,10.66,0.12,12.455,12.382,2.88,3.067,3.244,0.983,0.98,3.684,4.292
9,1.682,2.985,2.736,0.535,0.878,0.849,0.07,11.308,11.244,0.187,12.979,12.905,2.907,3.072,3.215,0.982,0.98,3.275,3.815
10,1.649,3.003,2.77,0.532,0.882,0.853,0.018,11.494,11.429,0.149,13.377,13.302,2.927,3.079,3.225,0.983,0.98,2.948,4.343
11,1.638,3.009,2.786,0.53,0.883,0.857,-0.452,11.688,11.627,-0.315,13.455,13.385,2.916,3.069,3.234,0.982,0.98,3.506,5.601
12,1.657,3.025,2.76,0.543,0.884,0.852,0.049,11.794,11.712,0.183,13.467,13.376,2.906,3.039,3.217,0.981,0.979,3.214,6.416
13,1.656,3.058,2.795,0.538,0.887,0.854,-0.056,12.236,12.149,0.074,13.873,13.777,2.907,3.047,3.225,0.98,0.976,2.967,6.884
14,1.662,3.091,2.788,0.539,0.89,0.857,0.03,12.283,12.183,0.157,14.01,13.889,2.909,3.059,3.244,0.981,0.977,2.755,8.433
